,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU,AT,BE,CH,ES,NL,DK,IE,LU,NO,SE,PL,PT,TR,CZ,FI,GR,HU,RO,SI,SK,UA,BG,BY,CY,EE,LT,LV,MD,MT,DATE
0,1,=,Billie Eilish - HIT ME HARD AND SOFT,45,1,(x45),22042,70,1.016,1.0,4.0,7.0,7.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,6.0,5.0,3.0,2.0,5.0,3.0,2.0,,3.0,3.0,4.0,2.0,6.0,2.0,2024-06-30
1,2,=,Imagine Dragons - LOOM,17,2,(x3),21299,-159,0.132,8.0,5.0,8.0,5.0,,3.0,2.0,1.0,1.0,2.0,10.0,13.0,2.0,9.0,4.0,4.0,4.0,7.0,1.0,3.0,13.0,3.0,5.0,3.0,2.0,2.0,3.0,,2.0,2.0,2.0,3.0,4.0,1.0,2024-06-30
2,3,=,"Camila Cabello - C,XOXO",10,3,(x3),19614,-388,0.098,10.0,10.0,15.0,12.0,,8.0,7.0,6.0,3.0,4.0,9.0,12.0,4.0,14.0,6.0,12.0,2.0,6.0,15.0,8.0,8.0,10.0,6.0,9.0,16.0,7.0,4.0,,6.0,5.0,7.0,12.0,11.0,10.0,2024-06-30
3,4,=,Charli xcx - Brat and itâs the same but thereâs three more songs so itâs not,21,3,(x8),18967,123,0.381,3.0,13.0,36.0,10.0,,15.0,13.0,12.0,5.0,3.0,5.0,3.0,11.0,15.0,2.0,5.0,3.0,4.0,8.0,2.0,12.0,22.0,9.0,7.0,15.0,13.0,5.0,,11.0,4.0,5.0,4.0,14.0,6.0,2024-06-30
4,5,=,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,73,1,(x20),18566,174,1.548,2.0,8.0,46.0,17.0,,7.0,10.0,10.0,6.0,6.0,7.0,1.0,3.0,12.0,3.0,16.0,6.0,8.0,17.0,4.0,9.0,14.0,13.0,8.0,28.0,52.0,7.0,,8.0,7.0,11.0,7.0,,4.0,2024-06-30
5,6,=,Gracie Abrams - The Secret of Us,10,2,(x7),16984,-163,0.196,4.0,9.0,67.0,31.0,,11.0,12.0,8.0,8.0,5.0,12.0,8.0,10.0,13.0,7.0,25.0,5.0,16.0,18.0,5.0,14.0,12.0,20.0,6.0,29.0,64.0,10.0,,17.0,12.0,,64.0,,13.0,2024-06-30
6,7,+1,Dua Lipa - Radical Optimism,80,1,(x7),16522,924,1.427,18.0,18.0,31.0,22.0,,20.0,18.0,23.0,7.0,7.0,24.0,25.0,5.0,20.0,11.0,13.0,14.0,18.0,13.0,11.0,15.0,13.0,21.0,10.0,21.0,8.0,14.0,,21.0,23.0,10.0,18.0,9.0,11.0,2024-06-30
7,8,-1,James Blake & Lil Yachty - Bad Cameo,3,7,,15523,-1097,0.048,26.0,15.0,39.0,18.0,,16.0,17.0,13.0,32.0,9.0,8.0,23.0,6.0,22.0,9.0,21.0,12.0,17.0,32.0,19.0,44.0,46.0,27.0,18.0,44.0,18.0,29.0,,,40.0,45.0,10.0,36.0,,2024-06-30
8,9,=,Don Toliver - Hardstone Psycho,26,2,(x7),13971,-418,0.379,28.0,19.0,35.0,28.0,,13.0,21.0,11.0,98.0,22.0,50.0,40.0,7.0,31.0,48.0,30.0,11.0,22.0,26.0,34.0,25.0,15.0,10.0,27.0,18.0,17.0,13.0,,47.0,29.0,33.0,85.0,10.0,,2024-06-30
9,10,=,Megan Thee Stallion - MEGAN,3,10,,12815,-984,0.04,15.0,35.0,37.0,44.0,,25.0,32.0,38.0,42.0,13.0,79.0,36.0,34.0,59.0,16.0,27.0,15.0,12.0,64.0,14.0,45.0,25.0,11.0,23.0,75.0,27.0,6.0,,53.0,14.0,66.0,59.0,55.0,,2024-06-30
10,11,=,Chappell Roan - The Rise and Fall of a Midwest Princess,82,8,,11068,-244,0.373,5.0,45.0,155.0,50.0,,66.0,39.0,36.0,33.0,10.0,45.0,9.0,42.0,27.0,30.0,54.0,19.0,47.0,59.0,13.0,71.0,41.0,41.0,13.0,,,60.0,,93.0,37.0,23.0,21.0,,32.0,2024-06-30
11,12,=,Taylor Swift - 1989,639,1,(x26),10827,390,6.018,19.0,27.0,128.0,56.0,195.0,27.0,63.0,31.0,44.0,27.0,19.0,5.0,33.0,44.0,21.0,46.0,35.0,35.0,63.0,23.0,47.0,55.0,40.0,24.0,,,57.0,,,72.0,68.0,68.0,,49.0,2024-06-30
12,13,=,Taylor Swift - THE TORTURED POETS DEPARTMENT,73,1,(x1),10249,276,1.194,12.0,22.0,158.0,87.0,,18.0,56.0,43.0,72.0,18.0,20.0,4.0,45.0,25.0,28.0,52.0,47.0,46.0,70.0,27.0,,63.0,105.0,54.0,,,44.0,,57.0,26.0,,,,64.0,2024-06-30
13,14,=,Travis Scott - UTOPIA,339,1,(x42),9873,131,5.255,103.0,37.0,77.0,33.0,,37.0,33.0,22.0,89.0,8.0,83.0,78.0,,75.0,77.0,22.0,25.0,26.0,40.0,61.0,55.0,24.0,16.0,31.0,24.0,21.0,23.0,74.0,15.0,41.0,86.0,63.0,17.0,47.0,2024-06-30
14,15,+2,BeyoncÃ© - COWBOY CARTER,94,1,(x14),8943,-92,1.579,37.0,47.0,72.0,88.0,,63.0,26.0,44.0,53.0,12.0,13.0,56.0,44.0,58.0,36.0,51.0,28.0,75.0,,36.0,,95.0,52.0,68.0,99.0,,27.0,,29.0,76.0,48.0,,,66.0,2024-06-30
15,16,=,Gunna - One of Wun,52,2,(x6),8880,-646,0.831,13.0,46.0,55.0,121.0,,64.0,34.0,21.0,,36.0,164.0,60.0,35.0,,62.0,75.0,21.0,54.0,,77.0,51.0,64.0,26.0,33.0,63.0,40.0,25.0,,24.0,54.0,50.0,,48.0,,2024-06-30
16,17,+1,Ariana Grande - eternal sunshine,115,1,(x1),8757,108,1.983,45.0,76.0,87.0,58.0,,53.0,44.0,60.0,29.0,17.0,30.0,38.0,49.0,,35.0,42.0,33.0,13.0,,90.0,31.0,61.0,31.0,44.0,,,21.0,,40.0,39.0,14.0,50.0,23.0,,2024-06-30
17,18,-3,Kygo - Kygo,11,6,,8132,-1502,0.153,92.0,36.0,138.0,66.0,,38.0,71.0,14.0,80.0,21.0,36.0,123.0,14.0,7.0,17.0,102.0,94.0,177.0,28.0,43.0,,42.0,153.0,32.0,32.0,,,81.0,,60.0,55.0,,,79.0,2024-06-30
18,19,+1,Johnny Cash - Songwriter,3,19,,7244,-234,0.02,79.0,21.0,,103.0,,43.0,65.0,30.0,105.0,11.0,53.0,43.0,32.0,16.0,24.0,89.0,,,90.0,20.0,,,170.0,57.0,,,,,,,,,,,2024-06-30
19,20,-1,Bring Me The Horizon - POST HUMAN: NeX GEn,38,4,,7232,-1078,0.537,23.0,31.0,,73.0,,22.0,80.0,58.0,87.0,128.0,,72.0,,,42.0,47.0,,191.0,30.0,15.0,,31.0,51.0,81.0,45.0,50.0,33.0,,30.0,20.0,93.0,29.0,66.0,,2024-06-30
20,21,+1,"Benny Andersson, BjÃ¶rn Ulvaeus, Meryl Streep & Amanda Seyfried - Mamma Mia",1271,6,,7066,218,5.696,41.0,42.0,177.0,118.0,,14.0,116.0,32.0,31.0,102.0,114.0,66.0,64.0,24.0,74.0,57.0,68.0,,11.0,,93.0,19.0,,,53.0,,,,,,,,,19.0,2024-06-30
21,22,+1,Taylor Swift - Midnights,619,1,(x33),7042,281,8.881,30.0,63.0,186.0,82.0,,35.0,59.0,102.0,65.0,44.0,55.0,11.0,77.0,,40.0,86.0,39.0,32.0,,57.0,84.0,89.0,81.0,42.0,,,65.0,,33.0,56.0,42.0,,,,2024-06-30
22,23,-2,Taylor Swift - reputation,1543,1,(x12),7023,117,9.601,27.0,49.0,162.0,90.0,,61.0,94.0,56.0,61.0,53.0,39.0,6.0,76.0,176.0,56.0,74.0,55.0,42.0,,59.0,82.0,69.0,63.0,75.0,,,37.0,,22.0,,,61.0,,,2024-06-30
23,24,=,Taylor Swift - Lover,1625,1,(x7),6789,136,9.695,16.0,57.0,178.0,100.0,,45.0,90.0,75.0,74.0,51.0,25.0,10.0,,,53.0,128.0,52.0,69.0,,60.0,,80.0,69.0,52.0,,,83.0,,48.0,74.0,,,,46.0,2024-06-30
24,25,+5,Tems - Born in the Wild,24,7,,6405,518,0.252,14.0,100.0,57.0,,,,28.0,63.0,,24.0,46.0,76.0,36.0,21.0,171.0,,22.0,,,,,,,,,,,,,93.0,,,97.0,,2024-06-30
25,26,+10,ABBA - ABBA Gold: Greatest Hits,1095,10,,6239,1170,5.836,53.0,38.0,,,197.0,21.0,93.0,28.0,180.0,54.0,49.0,45.0,40.0,32.0,32.0,123.0,,,77.0,33.0,,73.0,,51.0,,86.0,96.0,64.0,,,,,,,2024-06-30
26,27,+2,Taylor Swift - folklore,1436,1,(x27),6197,230,11.187,29.0,85.0,,101.0,,76.0,79.0,99.0,51.0,29.0,17.0,7.0,,143.0,50.0,92.0,53.0,52.0,,32.0,,81.0,88.0,47.0,,,,,97.0,,,83.0,,,2024-06-30
27,28,-1,Future & Metro Boomin - WE DON'T TRUST YOU,101,1,(x7),6096,-254,1.514,72.0,65.0,92.0,97.0,,71.0,92.0,48.0,127.0,45.0,,127.0,60.0,,57.0,81.0,23.0,43.0,74.0,101.0,56.0,30.0,19.0,41.0,54.0,42.0,11.0,,59.0,,97.0,57.0,27.0,18.0,2024-06-30
28,29,-4,Big Baby Tape & Aarne - PEEKABOO,3,25,,6021,-565,0.019,,144.0,,,1.0,77.0,,,101.0,52.0,,102.0,,183.0,155.0,10.0,,2.0,16.0,7.0,,,76.0,,67.0,1.0,26.0,,4.0,1.0,3.0,1.0,1.0,,2024-06-30
29,30,-4,twenty one pilots - Clancy,67,3,(x9),5706,-716,0.711,66.0,64.0,173.0,64.0,,50.0,87.0,110.0,73.0,62.0,161.0,152.0,,,139.0,49.0,97.0,79.0,31.0,44.0,,28.0,57.0,36.0,66.0,16.0,46.0,,18.0,66.0,16.0,17.0,42.0,14.0,2024-06-30
30,31,+1,Dardan & Azet - EUROSPORT,38,31,,5535,-127,0.171,,1.0,,,,2.0,,3.0,,,,,16.0,,,,,,93.0,,,67.0,,89.0,85.0,,78.0,,,,,,,,2024-06-30
31,32,+1,Benson Boone - Fireworks & Rollerblades,101,5,,5455,182,0.982,21.0,118.0,126.0,117.0,,73.0,60.0,37.0,86.0,46.0,,53.0,52.0,,106.0,150.0,78.0,,53.0,,,,149.0,72.0,95.0,,87.0,,,,,,,,2024-06-30
