,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU,AT,BE,CH,ES,NL,DK,IE,LU,NO,SE,PL,PT,TR,CZ,FI,GR,HU,RO,SI,SK,UA,BG,BY,CY,EE,LT,LV,MD,MT,DATE
0,1,=,Sabrina Carpenter - Espresso,80,1,(x19),18232,64,1.186,3.0,7.0,16.0,89.0,,3.0,4.0,5.0,37.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,2.0,38.0,7.0,4.0,19.0,10.0,8.0,7.0,9.0,30.0,14.0,,2.0,4.0,5.0,8.0,51.0,1.0,2024-06-30
1,2,=,floyymenor & Cris Mj - Gata Only,111,1,(x12),16979,-192,1.491,,9.0,4.0,24.0,25.0,8.0,2.0,1.0,15.0,18.0,134.0,,1.0,51.0,34.0,22.0,8.0,69.0,16.0,29.0,45.0,11.0,6.0,21.0,18.0,6.0,17.0,,19.0,15.0,20.0,4.0,2.0,12.0,2024-06-30
2,3,=,Benson Boone - Beautiful Things,164,1,(x83),16541,96,2.779,5.0,17.0,17.0,46.0,,7.0,5.0,3.0,31.0,12.0,17.0,23.0,2.0,11.0,14.0,15.0,11.0,,8.0,40.0,91.0,51.0,30.0,22.0,19.0,25.0,85.0,51.0,17.0,31.0,19.0,19.0,49.0,4.0,2024-06-30
3,4,=,Eminem - Houdini,31,2,(x6),14692,-253,0.5,4.0,4.0,113.0,88.0,,1.0,12.0,2.0,,7.0,9.0,15.0,7.0,7.0,4.0,10.0,22.0,,12.0,6.0,,16.0,25.0,17.0,14.0,71.0,29.0,,20.0,20.0,8.0,5.0,,11.0,2024-06-30
4,5,=,Sabrina Carpenter - Please Please Please,24,5,,14067,-100,0.306,2.0,20.0,180.0,90.0,,12.0,21.0,9.0,53.0,5.0,7.0,3.0,18.0,2.0,5.0,9.0,10.0,85.0,17.0,9.0,58.0,29.0,23.0,6.0,29.0,,35.0,,13.0,21.0,21.0,24.0,,2.0,2024-06-30
5,6,+1,Hozier - Too Sweet,100,6,,13964,99,1.185,7.0,13.0,77.0,136.0,,2.0,20.0,6.0,,14.0,19.0,8.0,12.0,4.0,9.0,6.0,16.0,,9.0,16.0,47.0,20.0,17.0,8.0,20.0,35.0,38.0,,12.0,19.0,6.0,14.0,94.0,5.0,2024-06-30
6,7,-1,Billie Eilish - BIRDS OF A FEATHER,45,3,(x4),13926,-10,0.673,10.0,12.0,112.0,104.0,,9.0,15.0,12.0,93.0,6.0,5.0,32.0,4.0,10.0,6.0,12.0,9.0,73.0,21.0,12.0,39.0,37.0,16.0,10.0,28.0,66.0,56.0,,10.0,17.0,4.0,15.0,65.0,3.0,2024-06-30
7,8,=,Artemas - i like the way you kiss me,103,2,(x7),13863,79,1.502,33.0,5.0,47.0,47.0,,4.0,8.0,11.0,85.0,17.0,48.0,59.0,5.0,20.0,13.0,3.0,98.0,,10.0,22.0,,24.0,43.0,45.0,13.0,16.0,66.0,,37.0,6.0,12.0,11.0,81.0,17.0,2024-06-30
8,9,+1,Billie Eilish - LUNCH,45,1,(x14),11290,-138,0.737,31.0,41.0,62.0,103.0,,28.0,11.0,20.0,111.0,10.0,12.0,54.0,11.0,12.0,10.0,18.0,14.0,160.0,26.0,18.0,,66.0,49.0,48.0,35.0,47.0,63.0,,32.0,29.0,17.0,26.0,,30.0,2024-06-30
9,10,-1,Kendrick Lamar - Not Like Us,57,2,(x2),11263,-438,0.627,20.0,39.0,131.0,100.0,,39.0,25.0,18.0,179.0,11.0,15.0,44.0,9.0,13.0,7.0,19.0,3.0,121.0,31.0,15.0,35.0,34.0,12.0,18.0,26.0,,23.0,,22.0,24.0,15.0,12.0,37.0,14.0,2024-06-30
10,11,=,Teddy Swims - Lose Control,239,3,(x20),10844,-47,2.629,13.0,36.0,139.0,179.0,,21.0,35.0,17.0,55.0,25.0,26.0,56.0,13.0,22.0,17.0,16.0,15.0,,19.0,106.0,93.0,73.0,39.0,58.0,34.0,13.0,18.0,,18.0,40.0,25.0,23.0,23.0,9.0,2024-06-30
11,12,=,Shaboozey - A Bar Song,72,12,,10644,-51,0.598,1.0,26.0,,,,16.0,63.0,4.0,,21.0,10.0,4.0,21.0,6.0,3.0,45.0,,,14.0,27.0,,60.0,150.0,62.0,30.0,,,,73.0,78.0,43.0,35.0,,7.0,2024-06-30
12,13,=,Billie Eilish - CHIHIRO,45,2,(x12),9852,62,0.681,59.0,46.0,85.0,150.0,,45.0,13.0,22.0,133.0,13.0,24.0,69.0,10.0,25.0,16.0,13.0,6.0,105.0,32.0,39.0,63.0,59.0,36.0,35.0,41.0,18.0,64.0,,33.0,26.0,10.0,17.0,41.0,26.0,2024-06-30
13,14,=,Myles Smith - Stargazing,51,13,,9569,-101,0.377,6.0,19.0,92.0,137.0,,11.0,31.0,8.0,,44.0,56.0,21.0,25.0,39.0,87.0,124.0,,,75.0,152.0,,95.0,,92.0,57.0,,,,,,,,,25.0,2024-06-30
14,15,=,Taylor Swift - Fortnight,73,1,(x8),9215,-45,1.031,15.0,32.0,129.0,140.0,,49.0,44.0,33.0,113.0,22.0,36.0,2.0,15.0,15.0,15.0,46.0,17.0,186.0,,42.0,,,175.0,,,,,,36.0,34.0,39.0,,,34.0,2024-06-30
15,16,+2,Taylor Swift - Cruel Summer,392,4,,8931,326,3.812,16.0,42.0,,,,32.0,32.0,30.0,87.0,16.0,39.0,1.0,22.0,16.0,22.0,52.0,37.0,,63.0,41.0,,,124.0,61.0,,,,75.0,56.0,80.0,77.0,,,19.0,2024-06-30
16,17,-1,Tommy Richman - Million Dollar Baby,61,8,,8710,-311,0.602,22.0,37.0,148.0,,,36.0,66.0,19.0,,29.0,44.0,63.0,31.0,30.0,30.0,26.0,39.0,,55.0,50.0,87.0,47.0,46.0,,38.0,11.0,13.0,,28.0,28.0,14.0,7.0,14.0,28.0,2024-06-30
17,18,-1,Central Cee & Lil Baby - BAND4BAND,38,8,,8574,-211,0.434,17.0,44.0,,,,34.0,26.0,14.0,,28.0,66.0,62.0,6.0,42.0,54.0,75.0,26.0,,68.0,48.0,56.0,56.0,51.0,43.0,39.0,,28.0,,39.0,69.0,63.0,76.0,96.0,23.0,2024-06-30
18,19,+6,Coldplay - Viva La Vida,653,12,,8159,1094,3.409,18.0,49.0,145.0,131.0,,38.0,34.0,25.0,102.0,37.0,115.0,36.0,19.0,32.0,40.0,188.0,60.0,,47.0,54.0,99.0,45.0,67.0,27.0,64.0,,,,42.0,,,,,24.0,2024-06-30
19,20,-1,Dasha - Austin,111,17,,8052,253,0.72,9.0,15.0,,,,13.0,90.0,21.0,,43.0,69.0,24.0,57.0,31.0,59.0,110.0,,,91.0,61.0,,,,,100.0,,,,,81.0,84.0,,,32.0,2024-06-30
20,21,-1,Mark Ambor - Belong Together,104,17,,7923,252,0.657,19.0,16.0,86.0,,,15.0,55.0,10.0,,42.0,,60.0,51.0,34.0,,111.0,,,66.0,,,,,,,,,,,,,,,40.0,2024-06-30
21,22,=,Dua Lipa - Training Season,136,3,(x4),7789,356,1.512,40.0,68.0,36.0,62.0,,42.0,72.0,42.0,181.0,34.0,79.0,73.0,45.0,47.0,48.0,48.0,51.0,141.0,87.0,65.0,,61.0,,,40.0,92.0,,,49.0,,73.0,,,,2024-06-30
22,23,-2,Coldplay - feelslikeimfallinginlove,10,14,,7513,-8,0.081,14.0,55.0,,83.0,,29.0,106.0,13.0,182.0,38.0,107.0,48.0,61.0,24.0,36.0,,69.0,,,43.0,,75.0,100.0,42.0,96.0,,,,57.0,,98.0,,,27.0,2024-06-30
23,24,=,CYRIL - Stumblin' In,156,18,,7509,145,0.933,,11.0,26.0,,,6.0,18.0,57.0,,19.0,,,28.0,,,79.0,,,,,,,156.0,83.0,59.0,,,,,75.0,,,,,2024-06-30
24,25,+1,"Jaxomy, Agatino Romero & Raffaella CarrÃ - Pedro",82,16,,7195,145,0.575,,18.0,,,129.0,14.0,17.0,49.0,120.0,24.0,189.0,,42.0,118.0,95.0,14.0,,,4.0,24.0,,33.0,,34.0,4.0,,,,,13.0,57.0,65.0,,62.0,2024-06-30
25,26,-3,Post Malone - I Had Some Help,52,12,,7119,-290,0.417,8.0,67.0,,,,43.0,185.0,29.0,,23.0,29.0,11.0,,19.0,12.0,76.0,65.0,,78.0,66.0,,,,67.0,85.0,,,,,84.0,68.0,,,22.0,2024-06-30
26,27,=,"Chappell Roan - Good Luck, Babe",34,24,,6956,146,0.154,12.0,61.0,,,,46.0,111.0,35.0,194.0,31.0,101.0,12.0,63.0,40.0,31.0,53.0,27.0,,,25.0,,,104.0,63.0,,,,,60.0,86.0,53.0,53.0,,35.0,2024-06-30
27,28,+1,"Adam Port, Stryv, Keinemusik, Orso & Malachiii - Move",23,28,,6815,150,0.093,176.0,47.0,91.0,127.0,,37.0,29.0,15.0,,51.0,,,17.0,,,,7.0,150.0,,,3.0,23.0,3.0,72.0,47.0,41.0,15.0,,4.0,77.0,72.0,59.0,1.0,21.0,2024-06-30
28,29,-1,Disturbed - The Sound of Silence,128,24,,6589,-134,0.767,,90.0,11.0,,,114.0,33.0,31.0,137.0,,81.0,,23.0,35.0,74.0,5.0,41.0,,13.0,,,13.0,58.0,,11.0,46.0,,,,53.0,35.0,87.0,,51.0,2024-06-30
29,30,=,BeyoncÃ© - TEXAS HOLD 'EM,140,1,(x1),6548,-7,1.835,53.0,38.0,72.0,,,22.0,38.0,45.0,,26.0,47.0,72.0,30.0,44.0,57.0,,,,,,,,,,,,,,,,,,,73.0,2024-06-30
30,31,=,David Guetta & OneRepublic - I Don't Wanna Wait,77,29,,6306,-18,0.309,32.0,27.0,39.0,,,25.0,142.0,34.0,,150.0,68.0,167.0,72.0,74.0,69.0,,,,,119.0,,,,,,,,,,,,,,69.0,2024-06-30
31,32,=,Tate McRae - greedy,290,1,(x58),5917,253,3.922,75.0,40.0,,,,35.0,59.0,47.0,,35.0,73.0,101.0,47.0,52.0,39.0,33.0,77.0,,37.0,90.0,,70.0,108.0,,58.0,73.0,58.0,37.0,46.0,,42.0,44.0,100.0,29.0,2024-06-30
32,33,=,GIMS & DYSTINCT - SPIDER,51,32,,4999,8,0.239,,,1.0,,,,1.0,23.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
33,34,=,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",121,34,,4836,32,0.384,,1.0,,,,5.0,,16.0,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
34,35,=,Miley Cyrus - Flowers,534,1,(x181),4778,207,6.877,81.0,69.0,167.0,,,47.0,65.0,43.0,107.0,65.0,94.0,74.0,43.0,41.0,55.0,49.0,,,34.0,97.0,,96.0,,,,94.0,,24.0,84.0,,60.0,,,53.0,2024-06-30
35,36,+1,Jordan Adetunji - Kehlani,10,36,,4510,37,0.041,25.0,66.0,,,,77.0,91.0,26.0,,95.0,,114.0,16.0,,,,53.0,,,,,,44.0,,,,,,,,,,,,2024-06-30
36,37,+2,Dua Lipa - Illusion,80,8,,4468,95,0.523,27.0,114.0,119.0,,,97.0,82.0,77.0,,36.0,67.0,96.0,84.0,114.0,44.0,58.0,89.0,,,72.0,,,,,,,,,,,,,,42.0,2024-06-30
37,38,=,Carbonne - Imagine,59,38,,4405,15,0.262,,,2.0,,,,3.0,56.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
38,39,-3,AYLIVA & Apache 207 - Wunder,66,36,,4386,-157,0.317,,3.0,,,,10.0,,36.0,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
39,40,+1,The Weeknd - Blinding Lights,1602,1,(x129),4386,100,16.787,93.0,84.0,,,,83.0,52.0,41.0,,39.0,87.0,,34.0,37.0,43.0,40.0,99.0,,52.0,77.0,,85.0,,,,,,71.0,91.0,63.0,52.0,78.0,,41.0,2024-06-30
40,41,+2,Ariana Grande - we can't be friends,115,2,(x19),4237,74,1.232,52.0,97.0,192.0,,,96.0,84.0,65.0,,56.0,51.0,71.0,78.0,26.0,26.0,61.0,66.0,,,45.0,,,,,,,,,,,69.0,,,47.0,2024-06-30
41,42,-2,Dua Lipa - Houdini,234,1,(x6),4223,-96,2.362,82.0,72.0,,,,55.0,48.0,84.0,,20.0,,,35.0,,53.0,25.0,91.0,,96.0,,,89.0,,,89.0,,,,,,,,,,2024-06-30
42,43,-1,PASHANIM - Mittelmeer,38,34,,4089,-193,0.182,,6.0,,,,17.0,,27.0,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
43,44,=,"cassÃ¶, RAYE & D-Block Europe - Prada",322,5,,3906,-139,2.963,51.0,31.0,,,,44.0,49.0,,,63.0,171.0,77.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
44,45,+2,Camila Cabello - HOT UPTOWN,2,45,,3853,82,0.009,55.0,,,129.0,,175.0,133.0,46.0,94.0,46.0,160.0,147.0,79.0,95.0,35.0,44.0,25.0,,,156.0,,,59.0,,,,98.0,,45.0,,54.0,,,37.0,2024-06-30
45,46,+2,Billie Eilish - WILDFLOWER,45,7,,3845,88,0.437,88.0,118.0,,,,110.0,68.0,70.0,,45.0,49.0,112.0,29.0,29.0,52.0,77.0,21.0,,,81.0,,,90.0,,,,,,58.0,,58.0,90.0,,55.0,2024-06-30
46,47,-1,"Gradur, SDM & Rsko - TI TI TI",16,43,,3803,-18,0.06,,,6.0,,,,9.0,111.0,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
47,48,-3,Heuss L'enfoirÃ© - MÃ©lanine,58,42,,3793,-103,0.209,,,3.0,,,,6.0,160.0,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
48,49,+2,Noah Kahan - Stick Season,254,13,,3679,89,1.509,11.0,,,,,,94.0,83.0,,32.0,192.0,35.0,,88.0,112.0,,,,,,,,,,,,,,,,,,,78.0,2024-06-30
49,50,=,KeBlack - Boucan,67,47,,3594,0,0.249,,,5.0,,,,10.0,181.0,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
50,51,+2,"Jungeli, Imen Es & Alonzo - Petit gÃ©nie",332,26,,3572,16,1.325,,,8.0,,,,14.0,158.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
51,52,+8,Peter Schilling - Major Tom,22,52,,3571,476,0.071,,2.0,,,,26.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
52,53,-4,Billie Eilish - BLUE,45,6,,3550,-57,0.44,,95.0,,,,75.0,75.0,50.0,,49.0,77.0,187.0,49.0,48.0,75.0,47.0,29.0,,95.0,91.0,,,88.0,,,77.0,,,53.0,58.0,27.0,64.0,,63.0,2024-06-30
53,54,-2,GReeeN - Panama,21,48,,3428,-140,0.063,,14.0,,,,19.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
54,55,+11,Tom Odell - Another Love,1106,2,(x1),3245,340,8.012,150.0,96.0,153.0,,,86.0,58.0,32.0,,50.0,,108.0,33.0,87.0,,114.0,,,58.0,,,,,,90.0,,,66.0,,,,,,,2024-06-30
55,56,-1,Tony Effe & GAIA - SESSO E SAMBA,38,55,,3238,-15,0.111,,,,1.0,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
56,57,-3,Jul - Oh qu'elle est belle,110,42,,3211,-176,0.364,,,7.0,,,,16.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
57,58,+4,"Meduza, OneRepublic & Leony - Fire",31,58,,3211,222,0.096,,8.0,,,,20.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
58,59,-1,David Guetta & Bebe Rexha - I'm Good,630,1,(x31),3182,69,5.479,177.0,89.0,199.0,,,65.0,83.0,39.0,,64.0,146.0,,38.0,84.0,116.0,95.0,,,29.0,124.0,,81.0,116.0,,70.0,,,,87.0,,,,,76.0,2024-06-30
59,60,+7,Taylor Swift - Anti-Hero,603,1,(x5),3082,180,5.076,34.0,109.0,,,,100.0,170.0,113.0,,69.0,144.0,7.0,,125.0,72.0,,,,,158.0,,,,,,,,,,,,,,,2024-06-30
60,61,-5,"6PM RECORDS, Ski Aggu, Haaland936 & SIRA - JUNGE BALLER",24,42,,3069,-178,0.089,,10.0,,,,27.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
61,62,-5,Taylor Swift - I Can Do It With a Broken Heart,73,6,,3018,-137,0.557,23.0,150.0,,,,146.0,,,,68.0,157.0,9.0,,120.0,71.0,,90.0,,,99.0,,,,,,,,,,,,,,,2024-06-30
62,63,+7,Udo Lindenberg & Apache 207 - Komet,525,25,,3010,136,2.328,,22.0,,,,33.0,,55.0,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
