,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU,AT,BE,CH,ES,NL,DK,IE,LU,NO,SE,PL,PT,TR,CZ,FI,GR,HU,RO,SI,SK,UA,BG,BY,CY,EE,LT,LV,MD,MT,DATE
0,1,=,Jimin & Loco - Smeraldo Garden Marching Band,3,1,(x3),21164,-3037,0.071,12.0,12.0,16.0,4.0,1.0,1.0,42.0,2.0,3.0,22.0,15.0,20.0,,15.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,2.0,41.0,,1.0,4.0,1.0,19.0,1.0,6.0,7.0,1.0,8.0,2024-06-30
1,2,+3,Coldplay - feelslikeimfallinginlove,10,1,(x4),15479,1575,0.154,1.0,9.0,10.0,16.0,,6.0,8.0,3.0,18.0,9.0,,6.0,4.0,24.0,,,,,,,2.0,,,,,,,,,,,,,,2024-06-30
2,3,-1,Disturbed - The Sound of Silence,876,1,(x69),15009,-52,6.669,36.0,13.0,1.0,41.0,,25.0,5.0,1.0,6.0,20.0,4.0,,1.0,,,1.0,,,1.0,,,1.0,3.0,40.0,1.0,8.0,17.0,,,,28.0,,,,2024-06-30
3,4,=,Eminem - Houdini,31,1,(x16),14249,-73,0.539,7.0,3.0,33.0,13.0,,2.0,6.0,7.0,,21.0,14.0,13.0,,18.0,,12.0,10.0,,,,,,,,,,,,,,,,81.0,,2024-06-30
4,5,+2,Benson Boone - Beautiful Things,164,1,(x5),12973,1076,2.347,6.0,28.0,5.0,18.0,,16.0,39.0,6.0,13.0,,75.0,28.0,,20.0,,,8.0,,6.0,,,,,,,,,,,,41.0,,,,2024-06-30
5,6,-3,"Jaxomy, Agatino Romero & Raffaella CarrÃ - Pedro",93,1,(x1),12822,-1710,1.201,,11.0,115.0,34.0,14.0,3.0,2.0,13.0,11.0,5.0,40.0,,,,10.0,4.0,,,3.0,,,,,,2.0,,,,,,,,,,2024-06-30
6,7,+5,Teddy Swims - Lose Control,326,1,(x3),11722,1649,3.204,22.0,45.0,13.0,48.0,,15.0,24.0,11.0,10.0,37.0,37.0,39.0,,,12.0,,3.0,50.0,,,,,,,,,,,,,,,,,2024-06-30
7,8,+1,Cyril - Stumblin' In,227,5,,11650,825,2.087,,5.0,2.0,192.0,,5.0,4.0,4.0,9.0,4.0,28.0,63.0,,,,75.0,,,4.0,20.0,,,,,,,41.0,,,,,,,,2024-06-30
8,9,-1,David Guetta & OneRepublic - I Don't Wanna Wait,87,3,(x1),11567,688,0.914,20.0,19.0,7.0,124.0,,7.0,47.0,5.0,,26.0,10.0,3.0,5.0,27.0,14.0,,,,,,,,,,,,,,,,,,,,2024-06-30
9,10,=,Sabrina Carpenter - Espresso,80,7,,11146,553,0.604,19.0,32.0,6.0,79.0,,20.0,48.0,85.0,73.0,34.0,8.0,21.0,3.0,7.0,29.0,,4.0,70.0,,,,,,,,,,,,,,,,,2024-06-30
