,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
0,1,=,Imagine Dragons - LOOM,4,1,(x3),14730,-4183,0.06,1.0,2.0,2.0,3.0,194.0,1.0,4.0,1.0,1.0,1.0,1.0,,,2.0,3.0,1.0,,,,,,2.0,,,4.0,,,,,,,120.0,,,6.0,,,,1.0,,23.0,65.0,,,,46.0,,,,,12.0,,,,45.0,,26.0,13.0,20.0,,2024-06-30
1,2,+5,Coldplay - Ghost Stories,3773,1,(x132),12768,3862,28.364,,13.0,,51.0,,26.0,24.0,,55.0,18.0,29.0,,13.0,45.0,21.0,14.0,35.0,59.0,88.0,10.0,36.0,6.0,8.0,15.0,16.0,24.0,7.0,9.0,12.0,18.0,13.0,13.0,19.0,4.0,18.0,5.0,6.0,3.0,7.0,9.0,6.0,2.0,32.0,16.0,4.0,17.0,6.0,9.0,12.0,2.0,5.0,26.0,9.0,2.0,10.0,15.0,8.0,6.0,5.0,,2024-06-30
2,3,+2,Adele - 25,3174,1,(x296),11370,1863,33.095,,,107.0,119.0,,17.0,21.0,,52.0,16.0,145.0,5.0,11.0,44.0,,12.0,29.0,19.0,80.0,8.0,35.0,,,8.0,11.0,11.0,5.0,7.0,5.0,5.0,2.0,8.0,3.0,2.0,14.0,,,,4.0,,1.0,1.0,6.0,7.0,,2.0,1.0,1.0,6.0,1.0,4.0,1.0,,,2.0,1.0,1.0,3.0,3.0,7.0,2024-06-30
3,4,+5,Coldplay - A Head Full of Dreams,3160,1,(x6),11062,3050,23.245,,23.0,,145.0,,31.0,27.0,,57.0,20.0,161.0,6.0,16.0,43.0,25.0,18.0,67.0,87.0,102.0,15.0,39.0,26.0,26.0,26.0,31.0,4.0,8.0,20.0,30.0,31.0,20.0,23.0,37.0,7.0,19.0,6.0,12.0,9.0,12.0,27.0,12.0,3.0,56.0,,15.0,20.0,5.0,16.0,13.0,9.0,9.0,57.0,8.0,5.0,7.0,26.0,10.0,7.0,9.0,,2024-06-30
4,5,+3,Daft Punk - Random Access Memories,4116,1,(x122),10597,2006,29.786,,,,124.0,,22.0,22.0,,53.0,24.0,130.0,27.0,26.0,,8.0,16.0,30.0,41.0,82.0,37.0,41.0,10.0,3.0,13.0,15.0,19.0,6.0,17.0,17.0,15.0,27.0,11.0,11.0,11.0,39.0,2.0,2.0,4.0,8.0,1.0,5.0,12.0,22.0,6.0,2.0,3.0,7.0,23.0,2.0,4.0,6.0,,3.0,4.0,5.0,6.0,4.0,5.0,2.0,182.0,2024-06-30
5,6,+4,Adele - 21,4871,1,(x467),8035,515,45.27,,,,,,,,,51.0,15.0,,16.0,25.0,41.0,,11.0,28.0,50.0,84.0,12.0,47.0,,,7.0,,,4.0,12.0,4.0,,11.0,9.0,4.0,3.0,,,,,5.0,,2.0,,5.0,3.0,,1.0,4.0,5.0,3.0,30.0,3.0,14.0,,1.0,3.0,16.0,3.0,4.0,7.0,15.0,2024-06-30
6,7,+5,Ed Sheeran - Ã·,2678,1,(x100),8030,1617,22.851,,,,122.0,,20.0,25.0,,54.0,54.0,166.0,22.0,38.0,57.0,,21.0,97.0,18.0,,9.0,37.0,,,47.0,21.0,15.0,9.0,19.0,,9.0,5.0,20.0,,5.0,27.0,90.0,97.0,,14.0,,25.0,37.0,,,,31.0,,7.0,11.0,17.0,56.0,87.0,54.0,21.0,17.0,,9.0,10.0,,25.0,2024-06-30
7,8,-2,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,73,1,(x17),7925,-1080,0.914,4.0,14.0,16.0,6.0,,,9.0,9.0,,,,,,,,4.0,,,,,,,,,,1.0,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2024-06-30
8,9,+7,Bruno Mars - Unorthodox Jukebox,4169,1,(x3),7589,1396,22.473,,,,127.0,,65.0,30.0,,68.0,26.0,143.0,20.0,116.0,106.0,12.0,22.0,,45.0,146.0,,49.0,14.0,6.0,32.0,13.0,33.0,11.0,8.0,46.0,12.0,9.0,60.0,74.0,9.0,34.0,15.0,5.0,8.0,35.0,5.0,,,69.0,,12.0,36.0,,12.0,59.0,26.0,,50.0,5.0,14.0,51.0,,,26.0,,,2024-06-30
9,10,-7,The Warning - Keep Me Fed,4,3,(x2),7541,-2995,0.038,7.0,69.0,7.0,41.0,193.0,5.0,,3.0,15.0,,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
10,11,-7,Johnny Cash - Songwriter,4,4,,7197,-2373,0.029,10.0,31.0,4.0,43.0,,,5.0,6.0,,,24.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
11,12,+6,BeyoncÃ© - BEYONCÃ,3768,1,(x55),7094,1265,17.847,,,,128.0,,,39.0,,80.0,47.0,151.0,65.0,111.0,,63.0,15.0,44.0,,113.0,16.0,38.0,12.0,34.0,17.0,48.0,22.0,,29.0,15.0,10.0,23.0,14.0,6.0,17.0,,54.0,64.0,21.0,27.0,,9.0,28.0,35.0,18.0,50.0,34.0,3.0,2.0,1.0,3.0,10.0,85.0,38.0,11.0,8.0,23.0,12.0,9.0,12.0,,2024-06-30
