,0 period(s) ago,1 period(s) ago,2 period(s) ago,3 period(s) ago,4 period(s) ago,5 period(s) ago,6 period(s) ago,7 period(s) ago,8 period(s) ago,9 period(s) ago,10 period(s) ago,11 period(s) ago,12 period(s) ago,13 period(s) ago,14 period(s) ago,15 period(s) ago,16 period(s) ago,17 period(s) ago,18 period(s) ago
0,1,Nicki Minaj - Super Freaky Girl,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024-06-30
1,2,Cole Swindell - She Had Me At Heads Carolina,,0.4177,0.4258,0.4274,0.4177,0.4204,0.3862,0.3884,0.3976,0.3982,0.3938,0.4393,0.4567,0.4246,0.4258,0.4274,2024-06-30
2,3,Nicki Minaj - Super Freaky Girl,,0.3778,0.3048,0.3074,0.3778,0.3751,0.351,0.3492,0.3491,0.351,0.3594,0.3025,0.2911,0.3005,0.3048,0.3074,2024-06-30
3,4,Kate Bush - Running Up That Hill (A Deal with God),,0.3641,0.4285,0.4207,0.3641,0.3688,0.3699,0.3646,0.3595,0.3671,0.3672,0.4022,0.4211,0.4274,0.4285,0.4207,2024-06-30
4,5,Luke Combs - The Kind of Love We Make,,0.3125,0.3105,0.3026,0.3125,0.3119,0.2792,0.282,0.286,0.283,0.2794,0.3107,0.3177,0.3063,0.3105,0.3026,2024-06-30
5,6,Jelly Roll - Son Of A Sinner,,0.3097,0.3048,0.3007,0.3097,0.313,0.3008,0.302,0.3041,0.2814,0.2788,0.3088,0.3077,0.3035,0.3048,0.3007,2024-06-30
6,7,Morgan Wallen - You Proof,,0.3058,0.3403,0.3381,0.3058,0.3046,0.3035,0.3066,0.3082,0.3074,0.3031,0.3387,0.3478,0.3334,0.3403,0.3381,2024-06-30
7,8,OneRepublic - I Ain't Worried,,0.299,0.3367,0.3357,0.299,0.2939,0.2914,0.2944,0.2914,0.2965,0.2983,0.3234,0.3434,0.3347,0.3367,0.3357,2024-06-30
8,9,Lizzo - About Damn Time,,0.2804,0.2942,0.2911,0.2804,0.2855,0.2628,0.262,0.2637,0.2627,0.2509,0.2736,0.2833,0.2877,0.2942,0.2911,2024-06-30
9,10,Harry Styles - As It Was,,0.2736,0.2866,0.2825,0.2736,0.2771,0.2792,0.2753,0.2697,0.2664,0.2722,0.2935,0.2955,0.2834,0.2866,0.2825,2024-06-30
10,11,Sia - Unstoppable,,0.2688,0.2915,0.2921,0.2688,0.2708,0.2561,0.2527,0.2474,0.2451,0.2402,0.2871,0.2922,0.2877,0.2915,0.2921,2024-06-30
11,12,Jax - Victoriaâs Secret,,0.2581,0.2738,0.27,0.2581,0.2623,0.2588,0.2568,0.2546,0.2601,0.2562,0.2817,0.2933,0.2764,0.2738,0.27,2024-06-30
12,13,David Morris - Dutton Ranch Freestyle,,0.2522,0.2025,0.186,0.2522,0.2582,0.2263,0.2273,0.2188,0.2067,0.1998,0.2238,0.2256,0.2023,0.2025,0.186,2024-06-30
13,14,Nicky Youre & Dazy - Sunroof,,0.2502,0.2605,0.2546,0.2502,0.2477,0.2385,0.2402,0.2356,0.2321,0.2313,0.2681,0.2678,0.2578,0.2605,0.2546,2024-06-30
14,15,Bailey Zimmerman - Rock and A Hard Place,,0.2424,0.2233,0.2192,0.2424,0.2466,0.233,0.2368,0.2361,0.2253,0.2272,0.2445,0.24,0.2236,0.2233,0.2192,2024-06-30
15,16,Blasterjaxx & Timmy Trumpet - Narco,,0.2279,0.2902,0.2849,0.2279,0.2361,0.2344,0.2347,0.2388,0.2362,0.2444,0.2863,0.3123,0.2906,0.2902,0.2849,2024-06-30
16,17,Post Malone - I Like You (A Happier Song) [feat. Doja Cat],,0.2094,0.1971,0.1895,0.2094,0.2034,0.1775,0.1759,0.1743,0.1776,0.1743,0.1965,0.2056,0.1995,0.1971,0.1895,2024-06-30
17,18,David Guetta - Titanium (feat. Sia),,0.2025,0.2069,0.1986,0.2025,0.2034,0.1979,0.1951,0.1893,0.1823,0.1838,0.2156,0.2234,0.2094,0.2069,0.1986,2024-06-30
18,19,Chapel Hart - You Can Have Him Jolene,,0.2006,0.0,0.0,0.2006,0.2023,0.2168,0.2001,0.1493,0.0374,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-30
19,20,BeyoncÃ© - BREAK MY SOUL,,0.1986,0.2357,0.2288,0.1986,0.1991,0.1992,0.1971,0.2002,0.202,0.204,0.241,0.2444,0.235,0.2357,0.2288,2024-06-30
20,21,Morgan Wallen - Wasted On You,,0.1957,0.233,0.2332,0.1957,0.196,0.2073,0.2085,0.2115,0.2035,0.201,0.2264,0.2356,0.2307,0.233,0.2332,2024-06-30
21,22,Bailey Zimmerman - Fall In Love,,0.1937,0.1963,0.1927,0.1937,0.197,0.1788,0.1809,0.182,0.1786,0.1774,0.1875,0.1956,0.1952,0.1963,0.1927,2024-06-30
22,23,David Guetta - Sexy Bitch (feat. Akon),,0.1812,0.1609,0.1516,0.1812,0.1813,0.1761,0.173,0.1685,0.1646,0.166,0.192,0.1888,0.1624,0.1609,0.1516,2024-06-30
23,24,Imagine Dragons - Bones,,0.1782,0.2216,0.2211,0.1782,0.1854,0.187,0.1897,0.1902,0.1869,0.1892,0.2074,0.2123,0.2194,0.2216,0.2211,2024-06-30
24,25,Marshmello & Khalid - Numb,,0.1724,0.1772,0.176,0.1724,0.1718,0.168,0.1683,0.172,0.1708,0.1678,0.1803,0.1866,0.1781,0.1772,0.176,2024-06-30
25,26,Chapel Hart - The Girls Are Back in Town,,0.1704,0.0,0.0,0.1704,0.1676,0.1666,0.1537,0.1099,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-30
26,27,"benny blanco, BTS & Snoop Dogg - Bad Decisions",,0.1675,0.1365,0.1323,0.1675,0.1697,0.1613,0.1558,0.1548,0.1548,0.1494,0.1613,0.1677,0.1367,0.1365,0.1323,2024-06-30
27,28,TALK - Run Away to Mars,,0.1636,0.0952,0.0868,0.1636,0.1665,0.1599,0.1571,0.1357,0.1194,0.1193,0.125,0.1122,0.0983,0.0952,0.0868,2024-06-30
28,29,Ed Sheeran - Shivers,,0.1616,0.1661,0.1722,0.1616,0.1633,0.1477,0.1495,0.1471,0.1479,0.1448,0.1576,0.1655,0.1653,0.1661,0.1722,2024-06-30
29,30,Tyler Hubbard - 5 Foot 9,,0.1606,0.1498,0.1453,0.1606,0.1622,0.1423,0.1445,0.1476,0.1516,0.1459,0.1594,0.1555,0.1467,0.1498,0.1453,2024-06-30
30,31,Kane Brown - Like I Love Country Music,,0.1538,0.1688,0.1708,0.1538,0.1486,0.1382,0.1416,0.1461,0.1479,0.1376,0.1603,0.1589,0.1653,0.1688,0.1708,2024-06-30
31,32,Yung Gravy - Betty (Get Money),,0.1479,0.144,0.1434,0.1479,0.1538,0.149,0.1504,0.1493,0.1479,0.1519,0.1666,0.1555,0.1453,0.144,0.1434,2024-06-30
32,33,Drake Milligan - Kiss Goodbye All Night,,0.147,0.1923,0.1827,0.147,0.1497,0.1626,0.1592,0.1548,0.1339,0.1382,0.1703,0.1777,0.1895,0.1923,0.1827,2024-06-30
33,34,Walker Hayes - Y'all Life,,0.1432,0.1772,0.1803,0.1432,0.1465,0.145,0.1478,0.1484,0.1475,0.1506,0.1766,0.1812,0.1766,0.1772,0.1803,2024-06-30
34,35,Drake Milligan - Sounds Like Something I'd Do,,0.1412,0.1533,0.1467,0.1412,0.1422,0.149,0.1445,0.1379,0.1215,0.1228,0.1395,0.1411,0.1525,0.1533,0.1467,2024-06-30
