,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
0,1,=,Sabrina Carpenter - Espresso,80,1,(x34),17269,-4,1.174,10.0,3.0,,7.0,2.0,6.0,16.0,89.0,58.0,105.0,,8.0,4.0,5.0,5.0,,101.0,37.0,32.0,6.0,5.0,25.0,2.0,2.0,38.0,27.0,23.0,2.0,13.0,3.0,44.0,7.0,3.0,81.0,4.0,12.0,4.0,19.0,10.0,24.0,70.0,12.0,3.0,5.0,3.0,3.0,,1.0,16.0,6.0,1.0,2.0,8.0,3.0,1.0,7.0,3.0,9.0,30.0,8.0,2024-06-30
1,2,=,Sabrina Carpenter - Please Please Please,24,2,(x17),15646,-162,0.348,4.0,2.0,,20.0,3.0,4.0,180.0,90.0,94.0,45.0,,3.0,21.0,7.0,9.0,,73.0,53.0,45.0,3.0,3.0,33.0,5.0,1.0,85.0,64.0,17.0,4.0,8.0,12.0,17.0,17.0,7.0,46.0,21.0,38.0,9.0,58.0,29.0,43.0,72.0,27.0,4.0,21.0,18.0,2.0,,2.0,7.0,1.0,9.0,10.0,23.0,4.0,5.0,6.0,1.0,29.0,,17.0,2024-06-30
2,3,=,Billie Eilish - BIRDS OF A FEATHER,45,2,(x7),14552,-142,0.653,11.0,10.0,,12.0,8.0,10.0,112.0,104.0,63.0,93.0,,7.0,15.0,4.0,12.0,,102.0,93.0,87.0,1.0,32.0,116.0,6.0,4.0,73.0,68.0,12.0,1.0,17.0,9.0,56.0,21.0,5.0,89.0,17.0,3.0,12.0,39.0,37.0,57.0,38.0,16.0,2.0,4.0,4.0,1.0,,10.0,29.0,2.0,12.0,9.0,16.0,1.0,6.0,10.0,2.0,28.0,66.0,20.0,2024-06-30
3,4,=,Hozier - Too Sweet,101,4,,12592,-5,1.074,18.0,7.0,,13.0,9.0,12.0,77.0,136.0,,,,4.0,20.0,16.0,6.0,,,,,37.0,8.0,113.0,14.0,7.0,,,19.0,6.0,,2.0,,9.0,19.0,,19.0,30.0,16.0,47.0,20.0,29.0,,98.0,12.0,6.0,12.0,12.0,,4.0,,18.0,6.0,16.0,17.0,12.0,9.0,8.0,6.0,20.0,35.0,40.0,2024-06-30
4,5,=,Benson Boone - Beautiful Things,164,1,(x30),12224,-106,2.146,23.0,5.0,,17.0,5.0,8.0,17.0,46.0,88.0,,,,5.0,11.0,3.0,,,31.0,,133.0,23.0,,12.0,9.0,,92.0,16.0,8.0,81.0,7.0,198.0,8.0,17.0,,31.0,78.0,40.0,91.0,51.0,74.0,,,26.0,19.0,2.0,36.0,,11.0,,120.0,15.0,11.0,30.0,31.0,14.0,22.0,26.0,19.0,25.0,,2024-06-30
5,6,=,Kendrick Lamar - Not Like Us,57,3,(x5),11889,-317,0.62,1.0,20.0,,39.0,7.0,3.0,131.0,100.0,,,,48.0,25.0,61.0,18.0,,,179.0,118.0,46.0,44.0,23.0,11.0,3.0,121.0,81.0,7.0,3.0,,39.0,,31.0,15.0,,24.0,7.0,15.0,35.0,34.0,70.0,2.0,17.0,7.0,15.0,9.0,22.0,55.0,13.0,,22.0,19.0,3.0,12.0,2.0,7.0,18.0,10.0,26.0,,72.0,2024-06-30
6,7,=,floyymenor & Cris Mj - Gata Only,131,7,,10519,-64,1.02,35.0,,,9.0,,67.0,4.0,24.0,,11.0,25.0,,2.0,,1.0,,29.0,15.0,,,,,18.0,,69.0,,,7.0,10.0,8.0,3.0,16.0,134.0,7.0,15.0,21.0,29.0,45.0,11.0,25.0,,5.0,18.0,20.0,1.0,142.0,,51.0,8.0,,22.0,8.0,6.0,9.0,34.0,21.0,,18.0,6.0,,2024-06-30
7,8,=,Eminem - Houdini,31,3,(x5),10194,-228,0.373,37.0,4.0,,4.0,6.0,7.0,113.0,88.0,,,,,12.0,,2.0,,,,,,15.0,,7.0,8.0,,,116.0,16.0,,1.0,,12.0,9.0,,20.0,88.0,6.0,,16.0,,,,46.0,8.0,7.0,102.0,,7.0,,128.0,10.0,22.0,25.0,28.0,4.0,17.0,27.0,14.0,71.0,,2024-06-30
8,9,=,Tommy Richman - MILLION DOLLAR BABY,64,7,,9841,-170,0.617,6.0,22.0,,37.0,11.0,9.0,148.0,,23.0,,,59.0,66.0,123.0,19.0,,,,,47.0,63.0,,29.0,6.0,,,29.0,9.0,,36.0,,55.0,44.0,,28.0,62.0,50.0,87.0,47.0,,52.0,11.0,62.0,14.0,31.0,27.0,,30.0,,16.0,26.0,39.0,46.0,26.0,30.0,,12.0,38.0,11.0,82.0,2024-06-30
9,10,=,Taylor Swift - Fortnight,73,1,(x28),9762,-190,1.099,46.0,15.0,,32.0,10.0,31.0,129.0,140.0,,,,28.0,44.0,40.0,33.0,38.0,,113.0,60.0,16.0,2.0,,22.0,12.0,186.0,36.0,66.0,17.0,33.0,49.0,176.0,,36.0,,34.0,110.0,42.0,,,,,,24.0,39.0,15.0,11.0,,15.0,,11.0,46.0,17.0,175.0,21.0,15.0,,4.0,,,10.0,2024-06-30
10,11,=,Shaboozey - A Bar Song,79,11,,9616,-39,0.609,2.0,1.0,,26.0,1.0,1.0,,,,,,,63.0,,4.0,,,,,,4.0,,21.0,5.0,,,8.0,18.0,,16.0,,14.0,10.0,,78.0,,27.0,,60.0,,,,,43.0,21.0,,,6.0,,150.0,45.0,,150.0,48.0,3.0,62.0,81.0,30.0,,,2024-06-30
11,12,=,Taylor Swift - Cruel Summer,508,1,(x36),9568,78,5.21,88.0,16.0,156.0,42.0,13.0,48.0,,,21.0,,,22.0,32.0,47.0,30.0,33.0,,87.0,47.0,18.0,1.0,,16.0,14.0,,19.0,174.0,22.0,72.0,32.0,,63.0,39.0,,80.0,,41.0,,,,,,,77.0,22.0,14.0,,16.0,189.0,14.0,52.0,37.0,124.0,37.0,22.0,61.0,5.0,,,27.0,2024-06-30
12,13,+1,Teddy Swims - Lose Control,238,4,,8565,-190,1.866,22.0,13.0,,36.0,12.0,24.0,139.0,179.0,,,,,35.0,39.0,17.0,,,55.0,,,56.0,,25.0,13.0,,,34.0,13.0,,21.0,,19.0,26.0,,40.0,85.0,106.0,93.0,73.0,71.0,,,27.0,25.0,13.0,61.0,,22.0,,,16.0,15.0,39.0,43.0,17.0,58.0,59.0,34.0,13.0,,2024-06-30
