,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
0,1,=,Jimin & Loco - Smeraldo Garden Marching Band,3,1,(x3),22701,-2545,0.074,9.0,12.0,12.0,4.0,4.0,1.0,42.0,12.0,2.0,3.0,16.0,1.0,4.0,4.0,1.0,22.0,1.0,2.0,3.0,34.0,7.0,1.0,1.0,15.0,2.0,20.0,,1.0,15.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,5.0,1.0,3.0,4.0,1.0,1.0,,6.0,,2.0,2.0,2.0,1.0,41.0,,1.0,1.0,2024-06-30
1,2,=,LISA - Rockstar,3,2,(x3),13695,-4088,0.053,28.0,86.0,56.0,17.0,56.0,,126.0,58.0,79.0,5.0,19.0,4.0,9.0,78.0,2.0,126.0,,1.0,4.0,17.0,2.0,2.0,2.0,,1.0,,,3.0,6.0,,2.0,13.0,11.0,3.0,2.0,,2.0,,,,26.0,12.0,,,,,,,3.0,,1.0,,3.0,7.0,,2.0,,,69.0,2.0,2024-06-30
2,3,=,Eminem - Houdini,31,1,(x21),12048,-198,0.495,6.0,7.0,3.0,3.0,,2.0,6.0,2.0,7.0,,33.0,115.0,106.0,13.0,,21.0,,,,,,,,14.0,,13.0,,,18.0,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,2024-06-30
3,4,=,Benson Boone - Beautiful Things,164,1,(x31),11712,550,2.208,10.0,6.0,28.0,5.0,,16.0,39.0,4.0,6.0,13.0,5.0,,,18.0,28.0,,,,,3.0,,,,75.0,,28.0,,,20.0,14.0,,,,,,,,,6.0,,,,,,,,,,,,41.0,,,8.0,,,,,,,2024-06-30
4,5,+4,Hozier - Too Sweet,101,2,(x1),11471,1304,0.892,7.0,14.0,27.0,6.0,,9.0,28.0,7.0,19.0,,30.0,18.0,,80.0,86.0,,,16.0,,4.0,,25.0,,53.0,,11.0,,22.0,,16.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
5,6,+1,Coldplay - feelslikeimfallinginlove,10,1,(x1),11444,990,0.119,101.0,1.0,9.0,21.0,,6.0,8.0,69.0,3.0,18.0,10.0,,,16.0,30.0,9.0,,,,7.0,14.0,,,,,6.0,4.0,,24.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2024-06-30
6,7,-2,Disturbed - The Sound of Silence,1405,1,(x2),11430,560,6.568,103.0,36.0,13.0,22.0,,25.0,5.0,23.0,1.0,6.0,1.0,,,41.0,10.0,20.0,,,,12.0,,30.0,,4.0,,,1.0,,,7.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,28.0,,,,3.0,,40.0,1.0,8.0,,2024-06-30
7,8,=,Sabrina Carpenter - Espresso,80,3,(x1),10722,310,0.775,17.0,19.0,32.0,14.0,,20.0,48.0,15.0,85.0,73.0,6.0,52.0,,79.0,83.0,34.0,,43.0,70.0,18.0,,,,8.0,,21.0,3.0,,7.0,,,,29.0,7.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,2024-06-30
8,9,-3,Shaboozey - A Bar Song,80,3,(x1),10599,63,0.712,1.0,2.0,18.0,1.0,,17.0,26.0,1.0,75.0,,59.0,,,128.0,,65.0,,,,11.0,,,,6.0,,1.0,,,17.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
9,10,=,Teddy Swims - Lose Control,357,1,(x5),10544,682,3.069,11.0,22.0,45.0,8.0,,15.0,24.0,11.0,11.0,10.0,13.0,,,48.0,,37.0,,,50.0,33.0,,,,37.0,,39.0,,,,3.0,,,12.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2024-06-30
