,Pos,P+,Artist and Title,Days,Pk,(x?),Aud,Aud+,Formats,PkAud,iTunes,Spotify,Apple M,Shazam,Date
0,1.0,=,Post Malone - I Had Some Help (feat. Morgan Wallen),54.0,1.0,(x19),94.11,1.08,5,94.11,2/43/52,5.0,4.0,8,2024-07-02
1,2.0,=,Hozier - Too Sweet,77.0,2.0,(x17),75.63,0.02,5,81.23,7,10.0,18.0,6,2024-07-02
2,3.0,=,Shaboozey - A Bar Song (Tipsy),49.0,3.0,(x2),66.64,1.02,6,66.64,1/17/27,3.0,2.0,1,2024-07-02
3,4.0,=,Tommy Richman - MILLION DOLLAR BABY,46.0,4.0,,66.53,1.1,6,66.53,14,8.0,5.0,3,2024-07-02
4,5.0,=,Teddy Swims - Lose Control,227.0,1.0,(x71),65.03,-0.27,8,83.96,10,21.0,22.0,4,2024-07-02
5,6.0,=,Sabrina Carpenter - Espresso,65.0,6.0,,60.75,0.68,5,61.63,19/88,4.0,10.0,13,2024-07-02
6,7.0,=,Benson Boone - Beautiful Things,136.0,2.0,(x47),59.53,-0.02,4,72.91,11,11.0,20.0,7,2024-07-02
7,8.0,=,SZA - Saturn,111.0,3.0,(x27),54.11,0.17,4,69.89,165,56.0,35.0,38,2024-07-02
8,9.0,=,Taylor Swift - Fortnight (feat. Post Malone),73.0,6.0,,45.32,-0.03,4,52.97,47,25.0,45.0,29,2024-07-02
9,10.0,=,Kendrick Lamar - Not Like Us,51.0,10.0,,40.94,0.04,3,44.17,4,2.0,1.0,5,2024-07-02
10,11.0,+1,Morgan Wallen - Cowgirls (feat. ERNEST),59.0,11.0,,40.87,0.81,1,40.87,21,19.0,12.0,61,2024-07-02
11,12.0,-1,Ariana Grande - we can't be friends (wait for your love),105.0,4.0,,39.51,-0.65,4,59.09,143,48.0,126.0,65,2024-07-02
12,13.0,=,Sabrina Carpenter - Feather,195.0,3.0,(x2),39.43,-0.59,3,57.04,95,38.0,138.0,33,2024-07-02
13,14.0,=,Bailey Zimmerman - Where It Ends,140.0,7.0,,36.63,-0.27,1,49.47,173,164.0,,101,2024-07-02
14,15.0,=,Luke Combs - Fast Car,414.0,1.0,(x47),36.24,0.54,4,100.6,67,59.0,58.0,119,2024-07-02
15,16.0,=,Taylor Swift - Cruel Summer,379.0,1.0,(x89),33.55,-0.08,3,90.19,36,39.0,82.0,,2024-07-02
16,17.0,=,Miley Cyrus - Flowers,536.0,1.0,(x121),33.23,0.02,4,119.67,58,186.0,,,2024-07-02
17,18.0,=,Doja Cat - Agora Hills,242.0,2.0,(x61),32.68,-0.09,4,75.01,,,197.0,49,2024-07-02
18,19.0,=,Bryan Martin - We Ride,115.0,19.0,,32.1,0.71,1,32.7,99,128.0,,46,2024-07-02
19,20.0,+2,Jason Aldean - Let Your Boys Be Country,118.0,20.0,,31.62,1.34,1,31.62,,,,,2024-07-02
20,21.0,-1,Jack Harlow - Lovin On Me,230.0,1.0,(x75),31.42,0.04,4,87.96,197,149.0,179.0,78,2024-07-02
21,22.0,-1,"Future, Metro Boomin & Kendrick Lamar - Like That",90.0,18.0,,30.98,-0.16,3,38.34,117,18.0,6.0,16,2024-07-02
22,23.0,=,Dua Lipa - Illusion,68.0,23.0,,29.33,0.19,5,30.84,138,,,79,2024-07-02
23,24.0,=,Sam Hunt - Outskirts,142.0,7.0,,29.15,0.11,1,49.41,,,,,2024-07-02
24,25.0,=,Nate Smith - Bulletproof,93.0,24.0,,28.81,0.42,1,30.46,68,,,140,2024-07-02
25,26.0,=,Cody Johnson - Dirt Cheap,79.0,26.0,,27.88,0.13,1,28.91,23,,156.0,60,2024-07-02
26,27.0,=,Chris Young - Young Love & Saturday Nights,111.0,26.0,,27.08,0.0,1,29.61,,,,,2024-07-02
27,28.0,+3,Drew Baldridge - She's Somebody's Daughter,61.0,28.0,,25.98,0.38,1,25.98,,,,,2024-07-02
28,29.0,=,Rema & Selena Gomez - Calm Down,540.0,1.0,(x65),25.66,-0.21,5,106.15,,,,96,2024-07-02
29,30.0,+2,SZA - Snooze,424.0,1.0,(x15),25.5,0.15,5,91.11,,67.0,26.0,154,2024-07-02
30,31.0,-1,Jelly Roll - Halfway To Hell,139.0,8.0,,24.83,-0.84,1,48.81,72,,,,2024-07-02
31,32.0,+1,Tyler Hubbard - Back Then Right Now,177.0,11.0,,24.55,-0.25,1,44.95,,,,,2024-07-02
32,33.0,+1,Dasha - Austin (Boots Stop Workin'),52.0,33.0,,23.63,0.27,4,23.65,42,27.0,142.0,26,2024-07-02
33,34.0,+1,Djo - End of Beginning,83.0,34.0,,23.48,0.24,4,25.98,119,45.0,,20,2024-07-02
34,35.0,+2,Luke Combs - Ain't No Love In Oklahoma,46.0,35.0,,23.34,0.32,1,23.34,24,185.0,103.0,52,2024-07-02
35,36.0,-8,Carly Pearce - We Don't Fight...f/C.Stapleton,207.0,26.0,,23.3,-3.13,1,27.96,,,,,2024-07-02
36,37.0,+1,Billie Eilish - LUNCH,45.0,37.0,,23.12,0.25,5 (-1),24.21,109,15.0,63.0,50,2024-07-02
