,Artist,Streams,Daily,As lead,Solo,As feature
0,Drake,115332.6,45.639,78764.6,43559.2,36568.0
1,Taylor Swift,105172.3,49.564,101852.9,92941.8,3319.3
2,Bad Bunny,101031.5,55.609,64242.0,36751.8,36789.5
3,The Weeknd,80648.4,38.334,64803.6,43697.3,15844.8
4,Justin Bieber,60856.7,20.106,37009.1,22525.4,23847.6
5,Ed Sheeran,57713.0,18.839,51385.4,41315.2,6327.6
6,Ariana Grande,57210.6,23.372,47577.1,34508.6,9633.5
7,Eminem,57209.4,17.877,48203.8,29269.2,9005.6
8,Travis Scott,56951.7,22.944,30410.9,22128.6,26540.8
9,Kanye West,55527.3,19.807,39403.8,25193.1,16123.5
10,Rihanna,49878.4,21.375,36403.7,24250.9,13474.6
11,Post Malone,49805.3,14.776,44281.0,23431.9,5524.3
12,Billie Eilish,48572.2,29.931,47932.3,42914.7,639.9
13,Kendrick Lamar,48118.5,27.214,34298.5,20240.5,13820.0
14,J Balvin,47894.7,15.059,21822.7,6853.0,26072.0
15,Future,46263.2,20.001,23897.4,10674.5,22365.9
16,Bruno Mars,44392.6,25.329,32118.0,26043.3,12274.6
17,BTS,43588.7,13.51,38757.5,35234.8,4831.2
18,Juice WRLD,41684.0,12.377,30666.4,23913.4,11017.6
19,Ozuna,41546.4,13.268,17584.8,7478.0,23961.6
20,Coldplay,39281.4,20.642,35943.7,32162.1,3337.8
21,Nicki Minaj,38939.1,11.048,14681.6,8544.6,24257.6
22,Chris Brown,37085.1,16.917,20245.7,10094.4,16839.4
23,Dua Lipa,36859.9,13.926,24715.5,20123.2,12144.4
24,XXXTENTACION,36699.6,10.381,31569.9,25828.5,5129.7
25,David Guetta,35874.5,15.368,26144.9,340.2,9729.7
26,Imagine Dragons,35695.8,12.557,33648.8,30011.7,2047.0
27,Daddy Yankee,35437.9,11.877,17154.8,9211.9,18283.1
28,21 Savage,34905.8,11.046,14259.7,7144.8,20646.1
29,Lil Wayne,34709.4,18.307,13268.9,3631.7,21440.5
30,Lana Del Rey,34572.1,20.186,31130.9,27886.6,3441.2
31,Anuel AA,33233.5,14.503,15365.0,4980.1,17868.4
32,Rauw Alejandro,33155.9,19.873,19651.9,8096.3,13504.0
33,Khalid,32952.2,7.013,17128.0,11485.4,15824.2
34,SZA,32266.1,21.092,21204.6,16533.6,11061.5
35,Lil Baby,31413.4,12.003,16082.0,7575.4,15331.4
36,KAROL G,30762.0,15.396,23460.0,11428.5,7302.0
37,Maroon 5,30629.4,11.939,30413.2,19764.1,216.1
38,Beyoncé,30459.8,12.966,25709.7,19098.9,4750.1
39,Lady Gaga,30036.2,22.113,29522.3,18733.4,514.0
40,Maluma,29997.6,12.142,16747.6,9971.5,13250.0
41,Calvin Harris,29284.0,12.566,27212.3,5045.0,2071.8
42,Lil Uzi Vert,28692.8,7.991,18609.4,14792.1,10083.3
43,Feid,28636.5,15.703,15597.8,8236.8,13038.7
44,Myke Towers,28238.0,14.677,11281.6,7706.9,16956.4
45,J. Cole,28236.8,8.268,21227.8,16703.2,7009.0
46,Sia,27833.0,8.741,18663.7,13816.6,9169.3
47,Young Thug,27335.5,9.884,9111.7,2332.2,18223.8
48,Arijit Singh,26647.4,23.678,11034.6,4596.5,15612.8
49,Shawn Mendes,26534.2,6.866,25885.8,19796.8,648.4
50,Sam Smith,26430.9,6.437,22072.0,16448.3,4358.9
51,Doja Cat,26343.3,9.779,21547.9,15693.8,4795.4
52,Farruko,25897.7,8.61,7109.6,4027.5,18788.1
53,Queen,25854.9,7.953,25780.1,23752.5,74.8
54,Linkin Park,25785.5,17.805,24260.4,23096.0,1525.1
55,Shakira,25324.0,12.892,19504.3,9454.5,5819.6
56,One Direction,25252.9,9.215,25252.9,25167.3,
57,Adele,25013.5,9.303,24958.4,24814.7,55.2
58,Metro Boomin,24901.0,10.355,11832.4,109.2,13068.5
59,Harry Styles,24858.6,7.306,24858.6,24858.6,
60,Peso Pluma,24687.1,18.359,13211.4,3066.1,11475.8
61,Selena Gomez,24182.7,8.016,14482.8,10103.7,9699.9
62,Ty Dolla $ign,23759.0,7.075,4513.0,292.0,19245.9
63,Arctic Monkeys,23600.6,12.056,23600.6,23600.6,
64,Katy Perry,23492.3,11.327,20834.1,16032.7,2658.2
65,Morgan Wallen,23420.2,31.391,19830.8,18094.5,3589.4
66,Gunna,23371.6,10.089,9390.8,5898.9,13980.8
67,Halsey,23059.6,6.339,12576.8,11161.4,10482.8
68,Nicky Jam,22922.2,7.24,9532.4,2493.4,13389.9
69,The Beatles,22588.4,7.957,22586.2,22582.1,2.2
70,Wiz Khalifa,22534.5,7.74,10409.8,4291.7,12124.7
71,Olivia Rodrigo,22459.5,11.636,22457.4,20780.3,2.2
72,"Tyler, The Creator",22097.6,13.67,19137.1,9307.1,2960.5
73,Marshmello,21353.6,6.556,15787.6,1601.2,5565.9
74,The Chainsmokers,21335.2,6.115,20359.4,3784.7,975.8
75,Miley Cyrus,21020.8,9.349,18100.5,16014.3,2920.3
76,Die drei ???,20946.1,9.518,20946.1,20862.0,
77,Pitbull,20931.6,12.315,14551.8,1810.3,6379.8
78,Playboi Carti,20860.2,16.213,12452.4,8259.7,8407.8
79,JAY-Z,20825.0,7.509,11319.8,2424.6,9505.1
80,Frank Ocean,20698.3,11.174,16792.2,15474.2,3906.1
81,A$AP Rocky,20492.9,8.906,11867.8,4795.7,8625.1
82,Pritam,20304.6,18.401,16805.8,8.3,3498.8
83,Cardi B,20174.4,4.634,9359.5,3733.6,10814.9
84,Junior H,19671.4,15.038,12374.9,9159.7,7296.5
85,Camila Cabello,19482.0,5.417,11229.6,5785.8,8252.4
86,Twenty One Pilots,19021.1,7.763,18860.3,18799.8,160.8
87,Avicii,18711.1,5.681,17941.8,12519.3,769.3
88,DaBaby,18632.8,3.84,8584.2,4814.7,10048.6
89,OneRepublic,18365.1,7.242,17014.1,15158.4,1351.0
90,Snoop Dogg,18364.8,6.653,7074.3,1564.3,11290.5
91,Disney,18249.0,9.275,,,18249.0
92,Kygo,18213.1,4.29,16397.8,241.9,1815.3
93,Red Hot Chili Peppers,18107.5,8.933,18107.5,18106.5,
94,$uicideboy$,17893.3,7.975,17150.1,13959.0,743.2
95,Sech,17703.7,5.234,6850.3,2187.0,10853.4
96,Arcángel,17608.7,8.641,7130.5,2076.7,10478.2
97,Michael Jackson,17550.1,8.174,16780.2,15668.4,769.9
98,Quavo,17092.3,3.642,2613.1,756.0,14479.2
99,Mac Miller,17010.2,6.86,15822.3,11105.3,1187.9
100,Trippie Redd,16963.6,4.656,10550.2,5382.5,6413.4
101,Fuerza Regida,16714.7,28.176,12214.5,6250.2,4500.3
102,50 Cent,16682.1,7.527,11230.3,6796.0,5451.8
103,Tyga,16524.6,4.17,7001.4,2608.4,9523.1
104,Elton John,16381.0,6.138,14931.1,10412.7,1449.9
105,Tiësto,16214.3,5.459,12245.1,3132.4,3969.2
106,Alan Walker,16102.7,4.752,12251.5,4756.5,3851.3
107,Jason Derulo,16082.3,4.121,12285.8,7424.8,3796.5
108,YoungBoy Never Broke Again,15984.8,7.192,11812.2,10400.9,4172.6
109,Lil Peep,15907.9,6.75,15094.0,8241.2,813.9
110,Bebe Rexha,15883.2,3.613,5491.7,2615.6,10391.6
111,Natanael Cano,15869.1,9.419,10527.4,5755.0,5341.7
112,Manuel Turizo,15849.8,7.394,7478.7,4997.2,8371.1
113,Charlie Puth,15804.4,5.891,12545.6,7349.8,3258.8
114,Sabrina Carpenter,15797.8,17.424,14340.8,14148.7,1457.0
115,Romeo Santos,15796.7,8.028,11008.3,6386.7,4788.3
116,Kodak Black,15640.4,6.122,10138.6,6438.7,5501.8
117,Swae Lee,15613.2,4.278,432.2,126.6,15181.0
118,The Neighbourhood,15587.5,8.358,15577.9,15046.5,9.6
119,Metallica,15496.0,7.543,15427.1,15202.6,68.9
120,Demi Lovato,15425.5,3.418,10298.6,8882.2,5126.9
