,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total,Region
0,The Weeknd - Blinding Lights,288,64.0,1,(x13),52375259,4799230587,Global
1,Ed Sheeran - Shape of You,365,34.0,1,(x14),64217796,3841910773,Global
2,Harry Styles - As It Was,164,60.0,1,(x11),78460903,3830327945,Global
3,Lewis Capaldi - Someone You Loved,320,15.0,4,,24962682,3733167215,Global
4,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,319,31.0,1,(x2),34579416,3554513852,Global
5,The Kid LAROI - Stay,175,43.0,1,(x12),70502410,3261615570,Global
6,Billie Eilish - lovely,371,,24,,14081242,3258519293,Global
7,Imagine Dragons - Believer,411,,16,,16864827,3230993282,Global
8,The Neighbourhood - Sweater Weather,274,,16,,21624450,3205174045,Global
9,Ed Sheeran - Perfect,398,15.0,4,,24763619,3153970822,Global
10,The Weeknd - Starboy,258,21.0,1,(x6),35360281,3126259910,Global
11,Glass Animals - Heat Waves,186,37.0,1,(x10),31668100,2930641455,Global
12,Drake - One Dance,266,26.0,1,(x14),47782311,2703105527,Global
13,Tom Odell - Another Love,217,,15,,20219891,2619156792,Global
14,Billie Eilish - BIRDS OF A FEATHER,55,54.0,1,(x3),66726270,2603045129,Global
15,Harry Styles - Watermelon Sugar,225,18.0,4,,28265526,2600844950,Global
16,James Arthur - Say You Won't Let Go,349,15.0,7,,19297939,2556709312,Global
17,Arctic Monkeys - I Wanna Be Yours,152,,15,,21021481,2547311642,Global
18,Tones And I - Dance Monkey,151,41.0,1,(x17),52055226,2538070349,Global
19,Lady Gaga - Die With A Smile,42,42.0,1,(x30),78624101,2528203171,Global
20,Taylor Swift - Cruel Summer,122,37.0,2,(x3),35517192,2478818275,Global
21,Miley Cyrus - Flowers,115,25.0,1,(x12),115156896,2459389429,Global
22,SZA - Kill Bill,121,26.0,1,(x2),55234610,2413447813,Global
23,Coldplay - Yellow,233,,19,,19818571,2329412135,Global
24,Vance Joy - Riptide,356,,16,,16836644,2309049674,Global
25,Sabrina Carpenter - Espresso,60,32.0,1,(x5),76427890,2257480845,Global
26,The Chainsmokers - Something Just Like This,262,12.0,2,(x2),33173199,2218843699,Global
27,The Weeknd - Die For You,177,,12,,22988828,2197157917,Global
28,OneRepublic - Counting Stars,366,24.0,3,(x5),11170130,2171755898,Global
29,Benson Boone - Beautiful Things,72,30.0,1,(x6),55391293,2166168262,Global
30,Jung Kook - Seven,99,22.0,1,(x9),89748171,2153538489,Global
31,Dua Lipa - Don't Start Now,164,33.0,2,(x1),37779776,2095527045,Global
32,Shawn Mendes - Señorita,146,23.0,1,(x14),67237638,2072961200,Global
33,Post Malone - rockstar,172,27.0,1,(x17),46995997,2072812831,Global
34,The Chainsmokers - Closer,224,28.0,1,(x11),46300740,1997802683,Global
35,Hozier - Take Me To Church,301,20.0,1,(x5),13212580,1977993905,Global
36,Elton John - Cold Heart - PNAU Remix,145,28.0,4,,28043005,1974787398,Global
37,Manuel Turizo - La Bachata,122,25.0,4,,30443567,1937228986,Global
38,Travis Scott - goosebumps,280,,13,,22652793,1930715182,Global
39,Juice WRLD - Lucid Dreams,204,15.0,3,(x1),27389019,1911008149,Global
40,Post Malone - Circles,171,18.0,1,(x1),43379405,1905867050,Global
41,Billie Eilish - bad guy,135,24.0,1,(x6),50342324,1896726225,Global
42,David Guetta - I'm Good (Blue),117,21.0,2,(x4),34345014,1880998531,Global
43,Mariah Carey - All I Want for Christmas Is You,83,37.0,1,(x13),92506541,1823145266,Global
44,The Weeknd - One Of The Girls,87,12.0,3,(x1),33826703,1792038360,Global
45,Eminem - Without Me,206,,31,,14105930,1790536911,Global
46,Lord Huron - The Night We Met,137,,15,,21456993,1789480178,Global
47,Arctic Monkeys - 505,178,,43,,13120065,1772896180,Global
48,The Weeknd - Save Your Tears,170,13.0,2,(x4),30115082,1767220860,Global
49,Teddy Swims - Lose Control,82,9.0,5,,33398917,1749969121,Global
50,Tate McRae - greedy,84,29.0,1,(x4),40228313,1742436704,Global
51,Lady Gaga - Shallow,182,12.0,3,(x2),31597226,1738805577,Global
52,OneRepublic - I Ain't Worried,114,8.0,7,,25270059,1663352530,Global
53,Ruth B. - Dandelions,173,,34,,11383604,1653359488,Global
54,ROSÉ - APT.,33,33.0,1,(x3),87041494,1653052782,Global
55,Coldplay - Viva La Vida,149,,31,,18240182,1636130973,Global
56,"Tyler, The Creator - See You Again",119,,16,,20536166,1633087670,Global
57,Lil Nas X - INDUSTRY BABY,81,40.0,2,(x8),53085371,1632867564,Global
58,Jimin - Who,46,27.0,1,(x3),64762611,1627899537,Global
59,Bruno Mars - Locked out of Heaven,192,,23,,19098304,1625851950,Global
60,FloyyMenor - Gata Only,69,22.0,3,(x1),54990825,1622333827,Global
61,Olivia Rodrigo - good 4 u,78,17.0,1,(x7),84131760,1618703681,Global
62,Adele - Easy On Me,114,22.0,1,(x7),84952932,1602558038,Global
63,The Police - Every Breath You Take,182,,40,,15898344,1600379737,Global
64,Bad Bunny - Me Porto Bonito,81,27.0,2,(x1),39839157,1595512799,Global
65,Olivia Rodrigo - drivers license,98,16.0,1,(x10),80764045,1590283541,Global
66,Dua Lipa - Levitating,116,12.0,4,,30358414,1576155950,Global
67,Ariana Grande - 7 rings,143,16.0,1,(x10),71467874,1547429518,Global
68,The Walters - I Love You So,155,,21,,14526745,1543469291,Global
69,"Chappell Roan - Good Luck, Babe!",60,19.0,6,,40219805,1541477463,Global
70,Wham! - Last Christmas,78,29.0,2,(x11),91090914,1531155898,Global
71,XXXTENTACION - SAD!,163,12.0,1,(x2),38010231,1531066913,Global
72,Ed Sheeran - Photograph,294,,15,,11105681,1518087038,Global
73,XXXTENTACION - Jocelyn Flores,217,2.0,7,,25442646,1511632218,Global
74,Hozier - Too Sweet,63,13.0,2,(x2),56325657,1509502364,Global
75,Kendrick Lamar - Not Like Us,57,17.0,2,(x3),73078518,1503842561,Global
76,Taylor Swift - Anti-Hero,79,12.0,1,(x3),82935273,1501835240,Global
77,Queen - Bohemian Rhapsody - Remastered 2011,224,,11,,18440196,1484719835,Global
