,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total,Region
0,Separ - Sunset,114,66.0,1,(x17),299692,10401388,Slovakia
1,Calin - Safír,122,45.0,1,(x6),337336,9762535,Slovakia
2,Calin - Hannah Montana,164,53.0,1,(x20),120009,8661248,Slovakia
3,Nerieš - Viac,274,22.0,1,(x2),166752,8311717,Slovakia
4,Tom Odell - Another Love,229,11.0,7,,60135,7977343,Slovakia
5,Pil C - NENI STRE$S,52,29.0,1,(x19),344104,7124407,Slovakia
6,The Neighbourhood - Sweater Weather,247,,16,,51882,7046995,Slovakia
7,Viktor Sheen - Až na měsíc,293,1.0,4,,42163,7026662,Slovakia
8,Separ - Bbejbb,66,36.0,1,(x3),219746,6923547,Slovakia
9,The Weeknd - Blinding Lights,226,42.0,1,(x3),95352,6885900,Slovakia
10,Lost Frequencies - Where Are You Now,172,38.0,2,(x1),101183,6646367,Slovakia
11,Nerieš - Ruka Na Volante,262,8.0,2,(x1),104665,6551266,Slovakia
12,Calin - Praha/Vídeň,159,29.0,3,(x1),58774,6248960,Slovakia
13,David Guetta - I'm Good (Blue),131,21.0,1,(x2),94406,6247906,Slovakia
14,Peter Pann - Stroj,176,14.0,1,(x4),134117,6204012,Slovakia
15,DMS - Lepšia Pesnička,294,5.0,2,(x1),34323,6105377,Slovakia
16,Glass Animals - Heat Waves,161,45.0,1,(x9),93835,6026240,Slovakia
17,Separ - Nemam mood,114,25.0,3,(x3),217366,5950951,Slovakia
18,Nerieš - 10 Minút,402,,47,,40977,5794523,Slovakia
19,Gleb - Šedá Hus,102,26.0,1,(x3),173493,5633773,Slovakia
20,STEIN27 - Habibi,114,29.0,3,(x3),103004,5539885,Slovakia
21,Artemas - i like the way you kiss me,64,19.0,1,(x9),305697,5473213,Slovakia
22,Saul - Niekde V Oblakoch,232,8.0,1,(x1),60702,5293535,Slovakia
23,Separ - Bejšíí,82,18.0,1,(x5),168979,5221669,Slovakia
24,Harry Styles - As It Was,117,22.0,1,(x4),141292,5017553,Slovakia
25,Vance Joy - Riptide,329,8.0,4,,48260,4898411,Slovakia
26,Benson Boone - Beautiful Things,72,17.0,2,(x2),126555,4869977,Slovakia
27,Calin - Dívej,121,10.0,2,(x3),194180,4866389,Slovakia
28,Separ - Reťaze,112,6.0,5,,198541,4584151,Slovakia
29,Pil C - Inverzia,114,7.0,2,(x2),172458,4482052,Slovakia
30,OneRepublic - I Ain't Worried,122,10.0,5,,63875,4474961,Slovakia
31,Miley Cyrus - Flowers,88,16.0,1,(x3),273967,4474959,Slovakia
32,Separ - Vyjebala Rešpekt,202,,15,,48454,4380140,Slovakia
33,Imagine Dragons - Bones,125,12.0,4,,60543,4371134,Slovakia
34,Viktor Sheen - Stíny,143,3.0,4,,68671,4357850,Slovakia
35,SIMILIVINLIFE - Pussy Power,82,18.0,1,(x5),166345,4354892,Slovakia
36,Gleb - KOMANDER PUMP IT UP,138,14.0,2,(x5),105539,4348423,Slovakia
37,cassö - Prada,85,20.0,4,,83933,4337008,Slovakia
38,Wham! - Last Christmas,80,39.0,1,(x17),262317,4304828,Slovakia
39,Eminem - Without Me,208,,45,,36773,4292318,Slovakia
40,Luca Brassi10x - mamaididit,85,7.0,2,(x1),149130,4198135,Slovakia
41,David Kushner - Daylight,87,24.0,3,(x4),120934,4183362,Slovakia
42,Hard Rico - Narcos,53,23.0,2,(x1),164701,4139350,Slovakia
43,Travis Scott - FE!N,87,4.0,2,(x1),97347,4133687,Slovakia
44,Separ - OG,180,7.0,2,(x1),68354,4118798,Slovakia
45,Imagine Dragons - Believer,296,15.0,4,,51039,4117996,Slovakia
46,The Kid LAROI - Stay,96,27.0,1,(x4),132863,4112602,Slovakia
47,Lord Huron - The Night We Met,171,,27,,50484,4105680,Slovakia
48,Eminem - Mockingbird,118,11.0,5,,66235,4098118,Slovakia
49,Macklemore & Ryan Lewis - Can't Hold Us,146,,35,,49743,4081517,Slovakia
50,Mariah Carey - All I Want for Christmas Is You,76,37.0,1,(x3),240251,4007724,Slovakia
51,Billie Eilish - BIRDS OF A FEATHER,55,12.0,8,,100898,3961858,Slovakia
52,Pil C - NESTARAM SA,52,20.0,2,(x8),210026,3925365,Slovakia
53,Gleb - alibababigbass,163,6.0,1,(x1),73297,3889232,Slovakia
54,Calin - Pistacie,26,15.0,1,(x13),246920,3826191,Slovakia
55,Tones And I - Dance Monkey,108,27.0,1,(x13),134816,3740131,Slovakia
56,Tiësto - The Business,112,32.0,1,(x3),65619,3705126,Slovakia
57,Gleb - Hey G!,130,7.0,2,(x3),108986,3692152,Slovakia
58,Eminem - The Real Slim Shady,170,,46,,39961,3651573,Slovakia
59,Ofenbach - Overdrive,80,7.0,6,,76196,3632162,Slovakia
60,Disturbed - The Sound of Silence - CYRIL Remix,69,2.0,10,,85223,3630399,Slovakia
61,Calin - Suave,53,14.0,4,,141547,3565747,Slovakia
62,Luca Brassi10x - Peniaze,59,17.0,5,,124444,3519116,Slovakia
63,Lewis Capaldi - Someone You Loved,183,10.0,7,,36966,3516765,Slovakia
64,Tate McRae - greedy,66,21.0,3,(x1),95974,3509092,Slovakia
65,Jaxomy - Pedro,48,15.0,2,(x7),210656,3498140,Slovakia
66,Separ - Pinokio,97,,12,,73656,3490639,Slovakia
67,Hard Rico - Brick na brick,91,,20,,61048,3453050,Slovakia
68,The Weeknd - Starboy,186,20.0,1,(x15),36379,3436013,Slovakia
69,DMS - Zlatí a Zároveň Kanál,223,4.0,3,(x1),29027,3435729,Slovakia
70,Yzomandias - Rolls,144,7.0,1,(x3),87713,3414248,Slovakia
71,Sabrina Carpenter - Espresso,60,6.0,8,,105830,3378356,Slovakia
72,Samey - breeze,102,12.0,1,(x7),165317,3373533,Slovakia
73,Teddy Swims - Lose Control,74,,11,,78013,3369581,Slovakia
74,Separ - Strýko Separ,126,2.0,5,,70651,3365624,Slovakia
75,Tiësto - Lay Low,88,4.0,9,,63636,3355807,Slovakia
76,Dollar Prync - Režim nerušit,87,4.0,8,,61956,3341679,Slovakia
77,Pil C - VIDÍM JAK SA NA MŇA POZERÁŠ,115,9.0,2,(x3),129373,3330256,Slovakia
78,BENNETT - Vois sur ton chemin - Techno Mix,76,7.0,9,,61794,3322245,Slovakia
79,SAINt JHN - Roses - Imanbek Remix,97,23.0,1,(x10),112246,3314578,Slovakia
80,Lil Nas X - INDUSTRY BABY,76,30.0,1,(x2),100423,3301846,Slovakia
81,Separ - Hejtklub 11,88,2.0,9,,185095,3294810,Slovakia
82,Shimmi - AM4,64,,15,,64715,3281584,Slovakia
83,Don Omar - Danza Kuduro,125,,36,,46036,3276691,Slovakia
84,Elton John - Cold Heart - PNAU Remix,112,4.0,9,,57048,3262954,Slovakia
85,Tiësto - The Motto,101,18.0,4,,52898,3257385,Slovakia
86,Pil C - Community service,91,5.0,6,,113834,3232136,Slovakia
87,Kontrafakt - J Lo,157,,22,,33403,3224974,Slovakia
88,Lady Gaga - Die With A Smile,42,15.0,4,,111677,3209377,Slovakia
89,Brenda Lee - Rockin' Around The Christmas Tree,57,25.0,3,(x10),199011,3192675,Slovakia
90,Samey - Valeriya,63,18.0,6,,112623,3185630,Slovakia
91,Ed Sheeran - Bad Habits,77,19.0,2,(x5),107671,3148816,Slovakia
92,Viktor Sheen - Dopamin,75,10.0,1,(x3),133242,3148397,Slovakia
93,James Hype - Ferrari,88,14.0,2,(x7),76678,3147545,Slovakia
94,Separ - Intro,63,8.0,4,,196955,3146854,Slovakia
95,XXXTENTACION - Revenge,144,,51,,34360,3143845,Slovakia
96,MEDUZA - Bad Memories,97,,13,,48895,3138347,Slovakia
97,Calin - Santé,76,8.0,4,,84430,3132844,Slovakia
98,Harry Styles - Watermelon Sugar,141,12.0,7,,47953,3116894,Slovakia
99,Imagine Dragons - Demons,306,14.0,4,,51846,3099793,Slovakia
100,Matt Sassari - Give It To Me - Full Vocal Mix,108,,48,,39523,3095530,Slovakia
101,Calin - Cikády,88,5.0,6,,122794,3055986,Slovakia
102,Natasha Bedingfield - Unwritten,70,7.0,1,(x1),133742,3040280,Slovakia
103,ROSÉ - APT.,33,18.0,2,(x6),128865,3012052,Slovakia
104,Imagine Dragons - Enemy,96,19.0,2,(x3),62416,3012046,Slovakia
105,Hozier - Too Sweet,61,6.0,5,,99605,2988589,Slovakia
106,Kali - Mám ťa rád,66,,12,,77487,2979815,Slovakia
107,Kenya Grace - Strangers,62,16.0,1,(x1),101458,2967383,Slovakia
108,SIMILIVINLIFE - Môj typ ženy,81,,13,,51715,2955123,Slovakia
109,Kontrafakt - Neviditelnej,113,12.0,2,(x5),186358,2919663,Slovakia
110,Gigi Perez - Sailor Song,42,8.0,3,(x2),104992,2911049,Slovakia
111,Travis Scott - HIGHEST IN THE ROOM,132,6.0,2,(x3),71374,2899709,Slovakia
112,Sam Smith - Unholy,52,16.0,1,(x8),135443,2895092,Slovakia
113,DMS - MDMS,169,,13,,39710,2894334,Slovakia
114,Rytmus - AKM,130,,26,,40816,2894217,Slovakia
115,Joel Corry - Head & Heart,96,22.0,2,(x2),70515,2888126,Slovakia
116,Ed Sheeran - Shivers,97,4.0,5,,64408,2886577,Slovakia
117,Arctic Monkeys - I Wanna Be Yours,119,,46,,31270,2877127,Slovakia
118,Riton - Friday,84,20.0,2,(x1),74075,2829877,Slovakia
119,24kGoldn - Mood,87,27.0,1,(x3),94064,2817825,Slovakia
120,Viktor Sheen - Cígo a káva,30,18.0,1,(x2),203612,2791461,Slovakia
121,Lil Nas X - MONTERO (Call Me By Your Name),72,18.0,1,(x6),128685,2788673,Slovakia
122,Separ - Body to body,10,10.0,1,(x4),400636,2780016,Slovakia
123,The Neighbourhood - Softcore,119,,24,,33805,2779002,Slovakia
124,Viktor Sheen - Rozdělený světy,141,1.0,7,,53756,2760191,Slovakia
125,Måneskin - Beggin',71,14.0,1,(x2),132252,2755561,Slovakia
126,Billie Eilish - bad guy,97,27.0,1,(x8),75082,2741799,Slovakia
127,Bobby Helms - Jingle Bell Rock,50,20.0,3,(x3),188885,2734957,Slovakia
128,Kontrafakt - Reklama na Rap,79,11.0,1,(x6),246700,2700520,Slovakia
129,Separ - AENE,10,10.0,1,(x3),418506,2621914,Slovakia
130,Dua Lipa - Levitating,104,10.0,6,,51447,2618818,Slovakia
131,Puerto - Vďaka Ti - Acoustic Version,72,13.0,1,(x1),105753,2592862,Slovakia
132,Travis Scott - goosebumps,184,,16,,37084,2586058,Slovakia
133,Metro Boomin - Creepin',65,7.0,3,(x1),78501,2583825,Slovakia
134,Billie Eilish - lovely,192,,17,,24620,2581513,Slovakia
135,FloyyMenor - Gata Only,54,5.0,6,,97415,2563657,Slovakia
136,Lil Peep - Star Shopping,163,,85,,24732,2546822,Slovakia
137,Saul - Včera Mi Zhorel Dom,135,1.0,8,,32495,2538754,Slovakia
138,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,134,11.0,3,(x1),34638,2489716,Slovakia
139,Doja Cat - Paint The Town Red,45,12.0,1,(x6),140189,2488366,Slovakia
140,Dimitri Vegas & Like Mike - Thank You (Not So Bad),65,,21,,64738,2480451,Slovakia
141,Djo - End of Beginning,52,8.0,4,,118033,2472634,Slovakia
142,Linkin Park - The Emptiness Machine,39,7.0,2,(x3),145019,2455919,Slovakia
143,Måneskin - I WANNA BE YOUR SLAVE,74,14.0,1,(x2),118360,2455697,Slovakia
144,Eminem - Godzilla,121,10.0,1,(x1),98733,2436839,Slovakia
145,Viktor Sheen - Syndrom,30,10.0,2,(x2),177030,2428652,Slovakia
146,Ego - Pumpa,75,22.0,1,(x6),143881,2417254,Slovakia
147,Masked Wolf - Astronaut In The Ocean,67,22.0,1,(x6),79436,2413572,Slovakia
148,Hard Rico - GHETTO ROMANTIKA,34,6.0,1,(x3),167386,2388066,Slovakia
149,Olivia Rodrigo - good 4 u,68,13.0,1,(x2),92105,2381868,Slovakia
150,Kanye West - Heartless,91,,28,,43698,2375785,Slovakia
151,A$AP Rocky - Praise The Lord (Da Shine),170,1.0,9,,28462,2371132,Slovakia
152,Regard - Ride It,106,,11,,36429,2351299,Slovakia
153,The Weeknd - Timeless,36,4.0,2,(x1),124242,2349276,Slovakia
154,Dua Lipa - Don't Start Now,103,12.0,3,(x1),55812,2335670,Slovakia
155,The Weeknd - Save Your Tears,113,11.0,4,,46860,2333846,Slovakia
156,Ego - Zatmenie,82,18.0,2,(x2),101773,2328736,Slovakia
157,Coolio - Gangsta's Paradise,127,,24,,34216,2319003,Slovakia
158,Felix Jaehn - Call It Love,90,,37,,34810,2313726,Slovakia
159,Sima - Forever Young,58,13.0,4,,90689,2312963,Slovakia
160,Yzomandias - Painkillers,29,14.0,1,(x1),134135,2309553,Slovakia
161,CYRIL - Stumblin' In,55,,23,,64779,2308254,Slovakia
162,Shawn Mendes - Señorita,69,19.0,1,(x10),118309,2307217,Slovakia
163,Elley Duhé - MIDDLE OF THE NIGHT,79,8.0,7,,49202,2303498,Slovakia
164,Samey - MY,133,2.0,1,(x1),66739,2295734,Slovakia
165,Elley Duhé - MONEY ON THE DASH - SPED UP,64,,26,,57004,2294721,Slovakia
166,P T K - Baby a Benzo,76,11.0,3,(x1),62883,2292453,Slovakia
167,Farruko - Pepas,79,6.0,6,,48457,2281110,Slovakia
168,Imanbek - Belly Dancer,84,,21,,35681,2276195,Slovakia
169,The Weeknd - One Of The Girls,74,,23,,47614,2270210,Slovakia
170,Post Malone - Circles,92,12.0,1,(x1),60811,2258558,Slovakia
171,Separ - Dovidenia,50,4.0,4,,116778,2255647,Slovakia
172,Alan Murin - Dokola,62,,21,,65085,2246776,Slovakia
173,David Guetta - Baby Don't Hurt Me,77,,27,,40539,2236661,Slovakia
174,Luca Brassi10x - Netancuj,37,7.0,6,,120517,2228016,Slovakia
175,Sia - Snowman,44,11.0,4,,161397,2226584,Slovakia
176,Michael Bublé - It's Beginning to Look a Lot Like Christmas,61,14.0,6,,120748,2218939,Slovakia
177,Post Malone - rockstar,144,28.0,1,(x14),40844,2215283,Slovakia
178,ThxSoMch - SPIT IN MY FACE!,70,4.0,6,,59083,2212470,Slovakia
179,Linkin Park - In the End,100,,22,,41291,2210569,Slovakia
180,Topic - Breaking Me,81,14.0,4,,51427,2205944,Slovakia
181,Andy Williams - It's the Most Wonderful Time of the Year,55,8.0,5,,116475,2193516,Slovakia
182,Dean Martin - Let It Snow! Let It Snow! Let It Snow!,40,13.0,5,,134743,2176967,Slovakia
183,Eminem - Till I Collapse,175,,88,,21408,2165110,Slovakia
184,¥$ - CARNIVAL,38,9.0,1,(x3),152999,2159898,Slovakia
185,Coldplay - Viva La Vida,89,,45,,44124,2156870,Slovakia
186,David Guetta - I Don't Wanna Wait,50,,19,,71125,2139504,Slovakia
187,Pitbull - Give Me Everything,66,,15,,64190,2138523,Slovakia
188,The Weeknd - Popular,52,4.0,5,,65839,2120138,Slovakia
189,Ariana Grande - Santa Tell Me,59,11.0,7,,121264,2103598,Slovakia
190,Sara Rikas - Iné Plemená,25,6.0,6,,166481,2077695,Slovakia
191,Ed Sheeran - Shape of You,137,23.0,1,(x15),58923,2076102,Slovakia
192,MadSkill - Technotronic Flow,111,,70,,26534,2074429,Slovakia
193,Shimmi - NYC Mindset,68,,16,,56007,2074365,Slovakia
194,Labrinth - Formula,101,,22,,34598,2071631,Slovakia
195,Separ - New York Freestyle,58,1.0,5,,157911,2060476,Slovakia
196,Mark Ambor - Belong Together,48,,13,,75997,2048669,Slovakia
197,Future - Type Shit,51,4.0,9,,80151,2045938,Slovakia
198,Travis Scott - SICKO MODE,147,3.0,9,,43717,2040777,Slovakia
199,Roddy Ricch - The Box,75,14.0,2,(x1),67396,2017884,Slovakia
200,DaBaby - ROCKSTAR,71,11.0,3,(x3),56933,2016844,Slovakia
201,Separ - Nehaj tak,10,10.0,3,(x1),279460,2015854,Slovakia
