,#,Artist,Listeners,Daily +/-,Peak,PkListeners
0,1,Bruno Mars,119341702,-32580,1,151079821
1,2,The Weeknd,114516441,-219318,1,126192069
2,3,Lady Gaga,110258086,-460827,2,124637761
3,4,Billie Eilish,98534704,-145606,1,108297865
4,5,Rihanna,93572810,-105715,2,93716556
5,6,Ed Sheeran,91843611,251850,2,94810774
6,7,Coldplay,91450261,175105,4,96459910
7,8,Kendrick Lamar,85083627,-219223,4,112091210
8,9,Bad Bunny,83689157,-184294,3,95350887
9,10,Taylor Swift,82606273,36005,1,116229071
10,11,Justin Bieber,81585279,70617,3,104411890
11,12,Drake,80365242,-65228,3,86591246
12,13,Ariana Grande,79895447,-84226,2,123700287
13,14,David Guetta,78920837,93041,4,80447076
14,15,SZA,77165018,-113428,6,97852020
15,16,Calvin Harris,75273618,19844,13,75465100
16,17,Maroon 5,72672517,-151861,16,75143583
17,18,Dua Lipa,69398576,-19414,3,78673675
18,19,Post Malone,68949370,-148568,3,98466468
19,20,J Balvin,68322480,-79848,20,68617811
20,21,Katy Perry,68159761,-54265,21,68214026
21,22,Eminem,68060628,-96704,5,86389533
22,23,Shakira,67971759,41591,3,82268835
23,24,Sia,66787135,6535,8,93545630
24,25,Sabrina Carpenter,65834338,549470,4,90844193
25,26,Travis Scott,64923307,-115785,6,75557671
26,27,Pitbull,64344328,120659,26,64344328
27,28,Kanye West,61897746,-51670,6,78581428
28,29,Miley Cyrus,61489062,-35979,2,84140935
29,30,Lana Del Rey,59223565,-16991,22,64952989
30,31,Beyoncé,58867498,-98720,6,78122541
31,32,Tate McRae,57560445,269056,26,59945963
32,33,Chris Brown,57031594,81021,25,57031594
33,34,Imagine Dragons,56677647,-49055,18,62801774
34,35,Benson Boone,55560770,32953,31,60310612
35,36,Adele,55227895,-90959,23,62764213
36,37,Daddy Yankee,55203500,-14546,22,58098739
37,38,Arctic Monkeys,54832923,-40443,36,56618863
38,39,Future,54437460,-88784,22,65628348
39,40,KAROL G,54418101,-27742,21,63139763
40,41,Doja Cat,52783996,-154528,5,76357864
