,Video,Views,Yesterday,Publication year
0,Crazy Frog - Axel F (Official Video),5259308420,1758327,
1,The Gummy Bear Song - Long English Version,3676936911,563518,
2,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,2514264449,293125,
3,50 Cent - In Da Club (Official Music Video),2389599113,858322,
4,Guns N' Roses - November Rain,2290700796,450049,
5,Eminem - Without Me (Official Music Video),2207240144,638619,
6,In The End [Official HD Music Video] - Linkin Park,2035947397,663374,
7,Nirvana - Smells Like Teen Spirit (Official Music Video),2008694137,536892,
8,Lady Gaga - Bad Romance (Official Music Video),1950960777,340473,
9,Queen – Bohemian Rhapsody (Official Video Remastered),1936928033,363262,
10,Michael Jackson - Billie Jean (Official Video),1867566886,565475,
11,Guns N' Roses - Sweet Child O' Mine (Official Music Video),1778409319,534997,
12,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,1723486997,273698,
13,The Cranberries - Zombie (Official Music Video),1697202792,362911,
14,Beyoncé - Halo,1692838814,336640,
15,Taylor Swift - You Belong With Me,1689647280,221864,
16,Rick Astley - Never Gonna Give You Up (Official Music Video),1662619962,328904,
17,Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,1610238678,643610,
18,Backstreet Boys - I Want It That Way (Official HD Video),1594035861,419074,
19,Evanescence - Bring Me To Life (Official HD Music Video),1559251263,404906,
20,Cyndi Lauper - Girls Just Want To Have Fun (Official Video),1557901819,419596,
21,Lady Gaga - Poker Face (Official Music Video),1536583539,568681,
22,Metallica: Nothing Else Matters (Official Music Video),1491961792,548798,
23,Bon Jovi - It's My Life (Official Music Video),1488510703,327341,
24,System Of A Down - Chop Suey! (Official HD Video),1481766285,333346,
25,Akon - Smack That (Official Music Video) ft. Eminem,1455768378,430751,
26,Sean Kingston - Beautiful Girls (Official HD Video),1427558418,421414,
27,George Michael - Careless Whisper (Official Video),1420832842,412294,
28,Audioslave - Like a Stone (Official Video),1361301405,401168,
29,Osito Gominola - Full Spanish Version - The Gummy Bear Song,1353895524,151901,
30,Europe - The Final Countdown (Official Video),1323358102,273657,
31,Bon Jovi - Livin' On A Prayer,1311236565,370613,
32,Katy Perry - Hot N Cold (Official Music Video),1303969193,149569,
33,Amy Winehouse - Back To Black,1279917911,498189,
34,Eminem - Mockingbird [Official Music Video],1258562797,634336,
35,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],1251864445,374447,
36,Akon - Lonely (Official Music Video),1227796014,309364,
37,Dil Laga Liya - Full Video | Dil Hai Tumhaara | Preity & Arjun Rampal | Alka Yagnik & Udit Narayan,1216742987,487563,
