,Video,Views,Yesterday,Publication year
0,KAROL G - Provenza (Official Video),1215326115,571315,2022
1,"Rema, Selena Gomez - Calm Down (Official Music Video)",1145522839,765397,2022
2,"Jhoome Jo Pathaan Song | Shah Rukh Khan, Deepika | Vishal & Sheykhar, Arijit Singh, Sukriti, Kumaar",1143145116,437432,2022
3,"Yuridia, Ángela Aguilar - Qué Agonía (Video Oficial)",1031050950,345548,2022
4,Bad Bunny ft. Chencho Corleone - Me Porto Bonito (Video Oficial) | Un Verano Sin Ti,1027184645,368137,2022
5,BLACKPINK - ‘Pink Venom’ M/V,977336332,328604,2022
6,Bad Bunny - Tití Me Preguntó (Video Oficial) | Un Verano Sin Ti,950893593,240454,2022
7,La Bachata - MTZ Manuel Turizo | Video Oficial,879206034,291425,2022
8,Coke Studio | Season 14 | Pasoori | Ali Sethi x Shae Gill,860428472,333097,2022
9,Harry Styles - As It Was (Official Video),839393780,357083,2022
10,"Besharam Rang Song | Pathaan | Shah Rukh Khan, Deepika Padukone | Vishal & Sheykhar | Shilpa, Kumaar",749204370,270456,2022
11,Grupo Frontera - NO SE VA (Video Oficial),745730944,361119,2022
12,BLACKPINK - ‘Shut Down’ M/V,734177835,244198,2022
13,"Pushpa: Saami Saami - Full Video Song | Allu Arjun, Rashmika Mandanna | Sunidhi C | DSP | Sukumar",731447079,163467,2022
14,Arabic Kuthu - Video Song | Beast | Thalapathy Vijay | Pooja Hegde | Sun Pictures | Nelson | Anirudh,719869230,279218,2022
15,QUEVEDO || BZRP Music Sessions #52,710743187,208299,2022
16,"Srivalli (Video) | Pushpa | Allu Arjun, Rashmika Mandanna | Javed Ali | DSP | Sukumar",669968069,65780,2022
17,Carin Leon x Grupo Frontera - QUE VUELVAS (Video Oficial),662916212,368523,2022
18,"Shakira, Rauw Alejandro - Te Felicito (Official Video)",661268584,89505,2022
19,Bad Bunny - Moscow Mule (Video Oficial) | Un Verano Sin Ti,659209147,389413,2022
20,Eagles - Hotel California (Live 1977) (Official Video) [HD],652251496,653848,2022
21,Rema - Calm Down (Official Music Video),647401130,151745,2022
22,ROSALÍA - DESPECHÁ (Official Video),633476945,417596,2022
23,"Naacho Naacho (Full Video) RRR - NTR, Ram Charan | M M Kreem | SS Rajamouli | Vishal Mishra & Rahul",630126635,347465,2022
24,Maan Meri Jaan | Official Music Video | Champagne Talk | King,613192781,266373,2022
25,Lady Gaga - Bloody Mary (TikTok Remix | Speed Up) | Wednesday Dance Scene,605531325,274183,2022
26,PSY - 'That That (prod. & feat. SUGA of BTS)' MV,601536778,164249,2022
27,"KAROL G, Maldy - Gatúbela (Official Video)",590684856,201651,2022
28,Kesariya - Brahmāstra | Ranbir Kapoor | Alia Bhatt | Pritam | Arijit Singh | Amitabh Bhattacharya|4K,586927153,75191,2022
29,Eden Muñoz - Chale (Video Oficial),584441541,382097,2022
30,"Yandel, Feid - Yandel 150 (Video Oficial)",572899791,198487,2022
31,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole - Entre Nosotros REMIX (Video Oficial)",548018879,192262,2022
32,Elissa & Saad Lamjarred - Min Awel Dekika [Official Video] (2022) / اليسا وسعد لمجرد - من أول دقيقة,546809894,140065,2022
33,Arabic Kuthu | Halamithi Habibo -Lyric Video| Beast| Thalapathy Vijay| Sun Pictures| Nelson| Anirudh,531873741,47408,2022
34,Christian Nodal - Ya No Somos Ni Seremos (Letra / Lyrics),521444035,358480,2022
35,"Apna Bana Le - Bhediya | Varun Dhawan, Kriti Sanon| Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",521440977,259725,2022
36,Fuerza Regida X Edgardo Nuñez - Billete Grande (En Vivo 2022),510933524,369300,2022
37,Feid - Feliz Cumpleaños Ferxxo (Official Video),507360961,179920,2022
38,"Palang Sagwan Ke | Khesari Lal Yadav, Aamrapali Dubey | Doli Saja Ke Rakhna | FULL SONG | Movie Song",505036713,696754,2022
39,Carin Leon - No Es Por Acá (Video Oficial),501311022,250028,2022
40,Gusttavo Lima - Termina Comigo Antes (Ao Vivo em Porto Alegre),492297736,194144,2022
41,Ojitos Lindos,486096508,224659,2022
42,Cris MJ - Una Noche En Medellín (Video Oficial),484666458,234234,2022
43,Oo Antava Mawa..Oo Oo Antava Video Song (Telugu) | Pushpa Songs | Allu Arjun| DSP |Sukumar |Samantha,482055022,116127,2022
44,"Gerardo Coronel ""El Jerry"" - Te Felicito [Video Oficial]",470251814,277471,2022
45,"La Konga, Luck Ra, Ke Personajes - YA NO VUELVAS (Video Oficial)",467597922,153235,2022
46,Charlie Puth - Left And Right (feat. Jung Kook of BTS) [Official Video],464957442,121959,2022
47,Fuerza Regida x Grupo Frontera - Bebe Dame,464002301,198818,2022
48,Ayra Starr - Rush (Official Music Video),462023262,291294,2022
49,Stephen Sanchez - Until I Found You (Official Video),459689269,456889,2022
50,Gianluca Grignani - Mi Historia Entre Tus Dedos (HD),445397795,534936,2022
51,Marília Mendonça - Leão - Decretos Reais,444059163,141167,2022
52,Chris Brown - Under The Influence (Official Video),437811550,290631,2022
53,Feid - Normal (Official Video),436047209,383735,2022
54,"Oo Bolega ya Oo Oo Bolega Ft Samantha (Full Video) Pushpa | Allu A, Rashmika|Kanika K, DSP, Sukumar",430457848,40007,2022
55,"Tere Hawaale (Full Video) Laal Singh Chaddha | Aamir,Kareena | Arijit,Shilpa | Pritam,Amitabh,Advait",430415599,269284,2022
56,정국 Jung Kook (of BTS) featuring Fahad Al Kubaisi - Dreamers | FIFA World Cup 2022 Soundtrack,411064847,124719,2022
57,"Becky G, KAROL G - MAMIII (Audio)",410985460,63323,2022
58,OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],409545106,248731,2022
59,Junior H con Banda - El Hijo Mayor [En Vivo],400451922,254187,2022
60,Henrique e Juliano - SEU PERFIL - DVD Manifesto Musical,391159142,306929,2022
61,"No se habla de Bruno (De ""Encanto"")",390095552,82210,2022
62,"Ozuna, Feid - Hey Mor (Video Oficial) | Ozutochi",387100634,49765,2022
63,#Video | #Pawan Singh New Song | लाल घाघरा | Lal Ghaghra | Shilpi Raj | Namrita Malla| Bhojpuri Gana,381594004,91481,2022
64,Imagine Dragons - Bones (Official Music Video),377762465,164966,2022
65,Zé Felipe - Malvada (Videoclipe Oficial),375102584,84020,2022
66,"#TilluAnnaDJPedithe Video Song (Telugu) | DJ Tillu |Siddu, Neha Shetty |Vimal Krishna |Ram Miriyala",372806327,105398,2022
67,Natanael Cano x Gabito Ballesteros x Peso Pluma - AMG,371719752,73862,2022
68,"4*TOWN (From Disney and Pixar’s Turning Red) - Nobody Like U (From ""Turning Red"")",369595953,178478,2022
69,MC CABELINHO - X1 (prod. DALLASS),366539538,113527,2022
70,(여자)아이들((G)I-DLE) - 'TOMBOY' Official Music Video,365936715,100845,2022
71,"Hugo e Guilherme, Marília Mendonça - Mal Feito - DVD Próximo Passo",358064780,63728,2022
72,Dame Un Beso Y Dime Adios - Carin Leon Ft. Grupo Yndio,356225593,145399,2022
73,(여자)아이들((G)I-DLE) - 'Nxde' Official Music Video,355649420,133124,2022
74,"Chencho Corleone, Chris Jedi, Anuel AA , Ñengo Flow - La Llevo Al Cielo (Official Video)",353892875,175682,2022
75,#Power Star #Pawan Singh का पॉवरफुल #VIDEO | हरी हरी ओढ़नी | Ft. #Dimpal Singh | Bhojpuri Song 2022,353716030,79077,2022
76,David Guetta & Bebe Rexha - I'm Good (Blue) [Official Music Video],350232464,132115,2022
